Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav1,1,1,41.375591,41.518299,1380.314585
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav2,2,2,41.73019,41.883701,1394.002954
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav3,3,3,42.10857,42.31181,1426.866005
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav4,4,4,42.510731,42.729111,1451.531513
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav5,5,1,55.120468,55.66534,1752.694661
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav6,6,2,55.821011,56.37669,1664.592345
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav7,7,3,56.62318,57.14209,1645.752491
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav8,8,1,98.95182,99.088043,2128.661784
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav9,9,2,99.306419,99.440483,2177.777778
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav10,10,3,99.645882,99.795067,2151.382979
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav11,11,4,100.007004,100.192902,2097.694841
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav12,12,5,100.374496,100.543198,2092.379032
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav13,13,6,100.742104,100.919403,2154.521038
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav14,14,1,103.918297,104.037201,3918.878719
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav15,15,2,104.186401,104.314003,3894.402985
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav16,16,3,104.450203,104.5886,3872.477064
PAIR_Nocciolato_Asimov_090521_denoisedcutch2_Asimov.wav17,17,1,125.496696,125.9702,5414.826166
