Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav1,1,1,61.56830851,61.76290311,3442.903752
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav2,2,1,87.36106804,87.81189184,2526.400765
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav3,3,2,88.14486486,88.60540541,2353.737075
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav4,4,3,88.88864865,89.40972978,2373.877285
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav5,5,1,112.947768,113.3693896,8455.227493
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav6,6,2,113.6688491,113.9812815,8737.426519
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav7,7,1,120.0515518,120.4180382,8482.763101
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav8,8,2,120.7369572,121.121822,8470.276321
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav9,9,3,121.3661464,121.7229031,8742.636497
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav12,12,1,197.4374977,197.8656058,5659.65572
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav13,13,2,198.0850653,198.5337139,5558.74861
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav14,14,3,198.7737139,199.1942545,5507.14979
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav15,15,4,199.321822,199.7250653,5601.771255
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav16,16,5,199.8699301,200.1920923,5441.110642
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav17,17,6,200.3369572,200.6742545,5413.552941
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav18,18,1,224.5299301,224.6466869,3117.576228
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav19,19,2,224.8142545,224.927768,3118.537755
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav20,20,3,225.0445247,225.1937139,3109.787234
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav21,21,4,225.2704707,225.4002004,3082.838168
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav22,22,5,225.487768,225.6120923,3096.57122
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav23,23,6,225.6910112,225.847768,3106.711992
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav24,24,7,225.8974977,226.0402004,3110.962822
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav25,25,8,226.1029031,226.2510112,3044.871402
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav26,26,9,226.3093896,226.474795,3101.206306
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav27,27,10,226.5234436,226.6704707,3040.206663
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav28,28,11,226.7180382,226.8596599,3064.26513
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav29,29,12,226.9245247,227.0693896,3009.485052
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav30,30,13,227.1320923,227.286687,3033.572895
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav31,31,14,227.3483085,227.5169573,3041.583759
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav32,32,15,227.5720923,227.7212815,3009.255319
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav33,33,16,227.8088491,227.9515518,3019.876072
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav34,34,17,228.021822,228.1764166,3007.700205
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav35,35,18,228.2412815,228.3872275,3014.447724
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav36,36,19,228.4499301,228.5969572,3019.802591
PAIR_BigMac_Gasolino_110521_denoisedch1_BigMac.wav41,41,1,275.0982405,275.584727,3677.226754
