Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav4,4,1,25.4781743,25.62195808,2009.919571
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav5,5,2,25.78303916,25.96141754,2074.107029
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav6,6,3,26.09006619,26.25547159,2073.516107
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav7,7,4,26.41871484,26.6035797,2071.666871
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav8,8,5,26.76249862,26.93979592,2041.71889
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav9,9,1,31.2435797,31.340877,3751.223491
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav10,10,2,31.52898511,31.64574186,3708.545349
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav11,11,3,31.81655268,31.94412024,3668.467828
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav12,12,4,32.10195808,32.22520132,3699.337748
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav13,13,5,32.37763376,32.50844457,3669.266771
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav18,18,1,66.14734006,66.24788135,1790.257104
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav19,19,2,66.41653,66.57220568,1798.427032
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav20,20,3,66.72031378,66.90734081,1807.201746
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav21,21,4,67.02085432,67.25653,1815.932269
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav22,22,1,72.47490838,72.68031378,4576.001766
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav23,23,2,72.85112459,73.4392327,4284.855028
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav24,24,3,73.56139486,73.94950297,4192.025006
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav25,25,4,74.04896243,74.24896243,4269.515928
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav30,30,1,110.7257192,111.1613949,1810.913917
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav31,31,2,111.4273408,111.7668003,1802.765346
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav32,32,3,112.109503,112.4338273,1775.963085
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav41,41,1,178.7397732,179.2370705,2674.43345
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav42,42,2,179.4489624,179.8781516,2772.559172
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav45,45,1,258.1613949,258.4100435,6462.584352
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav46,46,2,258.6132868,259.0651786,6207.060063
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav47,47,3,259.149503,259.5073408,6019.352386
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav54,54,1,294.5462597,295.0078814,5250.928382
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav55,55,2,295.2089624,295.6922057,4962.077703
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav64,64,1,407.123557,407.25653,2015.140665
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav65,65,2,407.4392327,407.5873408,2079.424372
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav66,66,3,407.7592327,407.9354489,2099.459599
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav67,67,4,408.0986922,408.2813949,2096.090841
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav68,68,5,408.4468003,408.629503,2085.145197
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav69,69,1,420.5786922,420.6900435,3717.654246
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav70,70,2,420.8738273,421.0068003,3646.803069
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav71,71,3,421.1559895,421.2889624,3684.398977
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav72,72,4,421.4262597,421.5581516,3684.476534
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav79,79,1,438.6857192,439.1376111,5051.94942
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch1_Brummel.wav80,80,2,439.3300435,439.7138273,4966.298375
