Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav1,1,1,8.819945125,8.943189067,1963.245033
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav2,2,2,9.187514776,9.34102916,2006.322009
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav3,3,3,9.542111381,9.719409683,2019.15846
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav4,4,4,9.905345345,10.08264365,2030.438675
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav5,5,5,10.25994195,10.44372678,2007.760642
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav6,6,6,10.61021421,10.79399903,2024.083899
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav7,7,7,10.97562168,11.16156868,2005.767589
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav8,8,8,11.33886699,11.53346268,2004.078303
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav9,9,9,11.71076099,11.90535668,1998.939641
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav10,10,10,12.09777887,12.26642847,2004.006453
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav11,11,11,12.44805112,12.64913335,1979.228687
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav12,12,1,22.51075418,22.64264682,2009.025271
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav13,13,2,22.86535079,23.0080543,2059.961868
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav14,14,3,23.20481217,23.36048873,2068.191087
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav15,15,4,23.54858657,23.71939835,2043.130227
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav16,16,5,23.90534535,24.07615712,2031.421744
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav17,17,6,24.26642847,24.44372678,2024.798568
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav18,18,7,24.63183595,24.8134586,2026.067416
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav19,19,8,24.99724343,25.1767039,2011.383449
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav20,20,1,81.42319789,82.00481951,3067.22807
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav21,21,2,82.29022492,82.83725195,3226.517161
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav22,22,3,83.08157627,83.56373843,3241.549097
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav23,23,1,119.0556303,119.1918465,4602.313582
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav24,24,2,119.3821168,119.5875222,4483.508113
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav25,25,3,119.7453601,119.9940087,4335.199708
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav26,26,4,120.1280628,120.4221168,4332.464528
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav27,27,5,120.5215763,120.7702249,4250.747766
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav28,28,6,120.904279,121.1572519,4296.558215
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav30,30,1,154.1734681,154.6361709,1335.577771
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav31,31,2,154.8761709,155.4253601,1354.682081
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav32,32,3,155.6653601,156.1929276,1393.170291
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav33,33,4,156.4567114,157.0188736,1408.809293
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav34,34,1,197.8794141,198.3248195,3652.736344
PAIR_Chimichanga_OzzyII_290421_denoisedch1_Chimi.wav35,35,2,198.5734682,199.0880628,3659.130167
