Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav4,4,1,19.5269875,19.62212317,1597.521449
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav5,5,2,19.67401536,19.7886106,1614.265928
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav6,6,3,19.83834061,19.96374673,1642.487796
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav7,7,4,20.01996327,20.1518559,1652.707581
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav8,8,5,20.20807244,20.3464516,1647.517614
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav9,9,6,20.39401944,20.54753382,1654.564254
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav10,10,7,20.60591253,20.75510257,1668.829787
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav11,11,1,27.60912745,27.72156052,2134.30127
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav12,12,2,27.83183142,27.95507536,2141.721854
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav13,13,3,28.05453538,28.18426585,2157.986718
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav14,14,4,28.28156369,28.41345633,2137.906137
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav15,15,5,28.50426766,28.6361603,2137.906137
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav16,16,6,28.72264728,28.85670209,2133.389716
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav17,17,7,28.94535124,29.08805475,2137.035272
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav18,18,8,29.17454173,29.31940742,2132.868994
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav19,19,9,29.41238092,29.55508443,2137.035272
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav20,20,10,29.64805793,29.79076144,2172.068637
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav21,21,11,29.89238364,30.04373585,2173.617978
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav22,22,12,30.14102236,30.29237457,2173.617978
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav23,23,13,30.38967242,30.54751115,2141.330269
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav24,24,14,30.644809,30.79832338,2156.144756
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav25,25,15,30.89129688,31.04913561,2166.671455
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav26,26,16,31.14427129,31.29994785,2170.958345
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav27,27,17,31.40157004,31.55076008,2144.680851
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav28,28,1,52.37887357,52.86536005,1888.972268
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav29,29,2,53.06427897,53.52265735,1895.765521
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav30,30,3,53.71292762,54.11292762,1889.892863
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav31,31,1,69.57238708,70.171306,2569.56423
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav32,32,2,70.45887357,71.05779249,2539.510847
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav33,33,3,71.20914384,71.69779249,2623.489559
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav35,35,1,105.0621168,105.5507655,6523.935035
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav36,36,2,105.758333,106.2080628,6481.370374
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav38,38,1,184.3226574,184.7399546,3067.325979
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav39,39,2,184.9972519,185.4296844,3070.882492
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav43,43,1,200.5972519,200.9821168,5874.630295
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav44,44,2,201.1659006,201.5918465,5911.30157
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav45,45,1,209.2891438,209.7129276,7838.84638
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav46,46,2,209.9507655,210.424279,7651.29298
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav57,57,1,316.1821168,316.664279,1657.068284
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav58,58,2,316.8394141,317.2804952,1645.928439
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav59,59,3,317.4037384,317.7799546,1631.955159
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav60,60,1,326.5431979,326.9756303,6541.812176
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav61,61,2,327.1702249,327.6761709,6383.856944
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav62,62,3,327.8340087,328.3096844,6401.206025
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav63,63,1,359.7864411,360.1777925,5335.233791
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav64,64,2,360.4459006,360.891306,5197.347656
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav65,65,1,379.9464411,380.3161709,2734.275727
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav66,66,2,380.6102249,381.2286033,2488.720619
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav67,67,3,381.4037384,381.9659006,2554.356244
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav73,73,1,410.6318465,410.9864411,5414.503133
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav74,74,2,411.2567114,411.7345492,5223.44232
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav75,75,1,435.2740087,435.3799546,1481.639204
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav76,76,2,435.5334682,435.6675222,1491.88092
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav77,77,3,435.8167114,435.9615763,1539.254969
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav78,78,4,436.0999546,436.2599546,1531.033017
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav79,79,5,436.4134682,436.584279,1492.831541
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav80,80,6,436.7334682,436.904279,1539.665472
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav81,81,7,437.0577925,437.2329276,1513.011393
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav82,82,8,437.3821168,437.5680628,1484.160468
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav87,87,1,459.3950898,459.4945492,1578.231137
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav88,88,2,459.5486033,459.6567114,1600.104866
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav89,89,3,459.7086033,459.8296844,1618.651685
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav90,90,4,459.8815763,460.024279,1611.534795
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav91,91,5,460.0696844,460.2145492,1615.182345
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav92,92,6,460.2664411,460.411306,1635.889811
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav93,93,7,460.4696844,460.6123871,1639.561487
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav94,94,8,460.6686033,460.8221168,1621.994092
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav95,95,1,473.7864411,473.9529276,5831.553861
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav96,96,2,474.0588736,474.2404952,6573.707865
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav97,97,3,474.3637384,474.5475222,5849.167181
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav98,98,4,474.6707655,474.8675222,5865.091622
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav99,99,5,474.9734682,475.1875222,5797.46822
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav100,100,1,477.3561709,477.518333,6468.246644
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav101,101,2,477.6156303,477.8015763,5855.980978
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav102,102,3,477.9226574,478.104279,5835.955056
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav103,103,4,478.2167114,478.4286033,5856.404494
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav104,104,5,478.5410357,478.7507655,5768.756757
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav105,105,6,478.8523871,479.1226574,5749.760886
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav106,106,7,479.2091438,479.4945492,5742.424724
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav107,107,8,479.6026574,479.9031979,5722.951562
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav108,108,9,480.0286033,480.3248195,5829.814758
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav109,109,10,480.4610357,480.7486033,5716.795458
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav110,110,11,480.8869817,481.2156303,5720.160066
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav111,111,12,481.3453601,481.6221168,5752.331012
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav112,112,13,481.8015763,482.0891438,5720.272828
PAIR_Wigwam_EasyRider_090521_denoisedch2_EasyRider.wav114,114,1,504.4718465,504.9302249,7777.219886
