Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav1,1,1,5.293498756,5.626472673,6585.720123
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav2,2,2,5.799446136,6.175663419,6751.08486
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav3,3,3,6.339988209,6.711881155,6740.973111
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav4,4,1,18.32269036,18.41566386,2129.188003
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav5,5,2,18.52593476,18.65134087,2120.8823
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav6,6,3,18.72701698,18.86107179,2125.930311
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav7,7,4,18.9280992,19.04485662,2149.339806
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav8,8,5,19.12269489,19.24810101,2176.694992
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav9,9,6,19.32810146,19.49242672,2172.44377
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav10,10,7,19.53567021,19.68486024,2184.893617
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav11,11,8,19.73675243,19.89026673,2182.200886
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav12,12,9,19.95513205,20.08270034,2186.971205
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav13,13,10,20.15621427,20.28594473,2196.522195
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav14,14,11,20.37674472,20.51296171,2180.043276
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav15,15,1,34.89133089,35.15944052,3852.782476
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav16,16,2,35.50322625,35.81674155,3868.75678
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav17,17,3,36.05674291,36.39187994,3771.474966
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav18,18,4,36.63404348,36.96053181,3730.384054
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav19,19,5,37.19404665,37.52702151,3648.723187
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav20,20,6,37.7389146,38.05026772,3632.444833
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav21,21,1,108.7486486,109.14,2958.908396
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav22,22,2,109.3151351,109.7410811,2957.998403
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav23,23,3,109.9097297,110.3248649,2933.89775
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav24,24,4,110.4567568,110.8783784,2924.346563
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav25,25,5,111.0232432,111.4275676,2876.355785
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav26,26,6,111.5767568,111.9291892,2874.17487
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav27,27,7,112.0524324,112.3897297,2875.764706
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav28,28,8,112.5043243,112.8589189,2851.074306
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav29,29,9,112.9627027,113.3021622,2854.378465
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav30,30,10,113.4362162,113.767027,2844.478717
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav31,31,1,188.0027027,188.3248649,3364.611486
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav32,32,2,188.5843243,188.9108108,3362.858532
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav33,33,3,189.1464865,189.4643243,3375.850753
PAIR_Legolas_FrogGuy_070520_denoisedch2_Frog.wav34,34,1,255.2783784,255.4275676,2473.085106
