Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav17,17,1,36.28377122,36.72269263,1622.110864
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav18,18,2,36.94755877,37.53350803,1628.087148
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav19,19,3,37.73242808,38.27080951,1610.356737
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav20,20,4,38.4653712,39.04050959,1651.750513
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav21,21,5,39.2221209,39.78212408,1655.290116
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav22,22,6,39.9745576,40.49131729,1633.189996
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav27,27,1,56.32049519,56.84373843,1656.903276
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav28,28,2,57.05563032,57.55508978,1615.685295
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav29,29,3,57.77995465,58.31617086,1639.204161
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav30,30,4,58.50427897,59.02103573,1644.872526
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav31,31,5,59.19833303,59.72806276,1644.17002
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav32,32,6,59.92914384,60.44806276,1636.045445
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav33,33,7,60.63833303,61.16157627,1672.191888
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav34,34,8,61.36049519,61.88157627,1646.553525
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav37,37,1,164.7875222,164.8415763,1535.360738
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav38,38,2,165.0167114,165.118333,1436.546185
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav39,39,3,165.291306,165.3907655,1427.444723
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav40,40,4,165.5615763,165.6826574,1478.258427
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav41,41,5,165.838333,165.9637384,1467.076478
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav42,42,6,166.1410357,166.2967114,1477.279348
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav43,43,7,166.4631979,166.6318465,1494.11132
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav44,44,8,166.8048195,166.9864411,1481.011236
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav45,45,9,167.1529276,167.3280628,1478.754531
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav46,46,10,167.4988736,167.6869817,1483.112343
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav47,47,11,167.864279,168.0415763,1534.109221
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav48,48,1,181.4080628,181.4686033,1486.516854
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav49,49,2,181.6480628,181.7518465,1416.364431
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav50,50,3,181.9334682,182.0675222,1417.286874
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav51,51,4,182.2318465,182.3961709,1460.4664
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav52,52,5,182.5734682,182.718333,1435.71764
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav53,53,6,182.8977925,183.064279,1471.401335
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav54,54,7,183.2329276,183.4167114,1479.975324
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav55,55,8,183.518333,183.7172519,1523.11638
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav56,56,9,183.8102249,183.9896844,1548.932407
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav57,57,10,184.0545492,184.2102249,1554.354792
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav58,58,11,184.2599546,184.411306,1579.011236
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav59,59,12,184.4675222,184.6404952,1589.657884
PAIR_BigMac_Gasolino_110521_denoisedch2_Gasolino.wav60,60,13,184.6967114,184.8653601,1618.620597
