Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav1,1,1,16.41241493,16.87512025,1396.089385
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav2,2,2,17.05241856,17.45242082,1554.911853
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav3,3,3,17.59944869,17.94539659,1555.076358
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav4,4,1,101.6037838,102.1659459,7963.685866
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav5,5,2,102.4232432,102.9681081,7776.09139
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav6,6,1,158.1637838,158.2697297,1642.071474
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav7,7,2,158.3454054,158.4664865,1569.101124
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav8,8,3,158.5227027,158.6545946,1584.476534
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav9,9,4,158.7194595,158.8513514,1576.895307
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav10,10,5,158.9075676,159.0394595,1592.057762
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav11,11,6,159.1021622,159.2340541,1629.963899
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav12,12,7,159.2859459,159.4221622,1636.86751
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav13,13,8,159.4848649,159.6124324,1653.945965
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav14,14,1,179.9281081,180.4145946,2735.823817
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav15,15,2,180.7086486,181.1454054,2990.218576
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav16,16,3,181.3810811,181.9540541,3012.252167
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav17,17,4,182.1594595,182.7281081,3174.116756
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav18,18,5,182.872973,183.432973,3117.730898
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav19,19,6,183.5778378,184.0859459,3072.121564
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav20,20,7,184.2286486,184.7389189,3074.830023
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav21,21,8,184.8881081,185.3962162,3042.600857
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav22,22,9,185.5367568,186.0448649,2639.151196
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav26,26,1,329.3118919,329.6210811,3243.788501
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav27,27,2,330.0491892,330.3908108,3222.759857
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav28,28,3,330.6891892,331.1151351,3178.674474
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav29,29,1,353.7659459,353.8978378,1986.281588
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav30,30,2,354.14,354.3,1955.972793
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav31,31,3,354.5118919,354.7043243,1953.764581
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav32,32,4,354.8837838,355.1237838,1941.483231
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav33,33,5,355.2686486,355.5324324,1937.170119
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav34,34,6,355.6708108,355.9108108,1928.984412
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav35,35,1,366.7475676,366.8881081,4816.989351
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav36,36,2,367.032973,367.2254054,4634.994698
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav37,37,3,367.3572973,367.58,4552.779475
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav38,38,4,367.6967568,367.9583784,4567.472699
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav39,39,5,368.06,368.3410811,4564.399806
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav40,40,6,368.4362162,368.7302703,4621.522209
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav41,41,7,368.8340541,369.1410811,4595.649926
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav42,42,8,369.2297297,369.5605405,4543.306601
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav43,43,9,369.6816216,370.0124324,4570.51203
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav44,44,1,392.1010811,392.1854054,2075.154611
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav45,45,2,392.3281081,392.4275676,2070.800091
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav46,46,3,392.552973,392.6567568,2100.458816
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav47,47,4,392.7540541,392.8837838,2073.208668
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav48,48,5,392.9659459,393.1,2073.714479
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav49,49,6,393.1691892,393.3118919,2052.955195
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav50,50,7,393.3767568,393.5237838,2013.201727
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav51,51,8,393.592973,393.7486486,2042.499272
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav52,52,9,393.8113514,393.9518919,2049.177154
PAIR_Grandmaster_Mecca_280421_denoisedcut1ch1_GMaster.wav53,53,10,394.0210811,394.1637838,2052.955195
