Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav6,6,1,151.8101796,152.1669363,1367.876438
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav7,7,2,152.469639,152.9193688,1660.920641
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav8,8,3,153.1636931,153.6004498,1710.331758
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav9,9,4,153.8123417,154.1907201,1715.161503
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav10,10,1,213.5745039,214.0480174,2810.89455
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav11,11,2,214.3528823,214.869639,2831.115889
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav12,12,3,215.0642336,215.4209904,2839.464819
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav14,14,1,252.8112606,252.9085579,2302.120718
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav15,15,2,252.9820715,253.0728823,2301.348315
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav16,16,3,253.1420715,253.2350444,2387.271397
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav17,17,4,253.3020715,253.3972066,2333.222116
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav18,18,5,253.4620715,253.5723417,2267.119062
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav19,19,6,253.6177471,253.7301796,2258.802178
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav20,20,7,253.7820715,253.8988282,2261.099243
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav21,21,8,253.9463958,254.0653147,2261.754051
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav22,22,9,254.0977471,254.2101796,2383.303085
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav23,23,10,254.2685579,254.3766661,2404.781879
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav25,25,1,273.4253147,273.9701796,5715.069291
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav26,26,2,274.2512606,274.7701796,5740.611754
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav32,32,1,407.8772066,408.0480174,2464.635603
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav33,33,2,408.4177471,408.5907201,2497.208022
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav34,34,3,408.9409904,409.1615309,2457.557064
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav35,35,4,409.3647742,409.602612,2421.737058
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav36,36,5,409.775585,410.0285579,2411.132025
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav37,37,6,410.1842336,410.4307201,2413.71539
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav38,38,7,410.5712606,410.8220715,2424.084622
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav39,39,8,410.9604498,411.202612,2423.848315
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav41,41,1,493.9420715,494.4134228,2760.095252
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav43,43,1,595.8663958,596.2080174,1369.892473
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav44,44,2,596.4436931,596.8047742,1332.083647
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav45,45,3,596.9972066,597.3669363,1368.490126
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav46,46,4,597.5593688,597.8339634,1361.965318
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav47,47,1,627.9550444,628.0890985,2103.552097
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav48,48,2,628.3053147,628.4609904,2093.882901
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav49,49,3,628.6620715,628.8415309,2094.958939
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav50,50,4,629.0101796,629.1918012,2097.640449
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav51,51,5,629.3582877,629.5442336,2102.560663
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav52,52,6,629.7172066,629.8988282,2103.146067
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav53,53,7,630.0588282,630.2447742,2102.560663
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav54,54,8,630.4069363,630.5669363,2105.951537
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav55,55,9,630.7593688,630.9388282,2106.102337
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav56,56,10,631.1031525,631.2674769,2099.42045
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav57,57,11,631.4361255,631.5982877,2102.642617
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav58,58,1,719.7474769,719.8512606,1907.756172
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav59,59,2,720.1063958,720.2642336,1906.924292
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav60,60,3,720.5107201,720.7031525,1839.448568
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav61,61,4,720.9020715,721.1161255,1854.629237
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav62,62,5,721.3042336,721.5290985,1858.808107
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav63,63,6,721.7042336,721.9312606,1907.24131
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav64,64,7,722.0999093,722.3204498,1958.79087
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav65,65,8,722.4890985,722.7269363,1950.843741
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav66,66,9,722.8847742,723.0988282,1971.419492
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav67,67,1,740.1172066,740.255585,4973.152375
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav68,68,2,740.6253147,740.8199093,4973.152375
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav69,69,3,740.9885579,741.1723417,4973.152375
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav70,70,4,741.3799093,741.669639,4731.655971
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav71,71,5,741.8490985,742.2620715,4704.677977
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav72,72,6,742.389639,742.8047742,4697.126939
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav73,73,7,742.9236931,743.3150444,4706.657396
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav74,74,8,743.4512606,743.829639,4788.709774
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav75,75,1,749.6523417,749.7258554,2339.666872
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav76,76,2,750.2339634,750.3096392,2285.590174
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav77,77,3,750.495585,750.5820715,2288.807339
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav78,78,4,750.6728823,750.7680174,2301.692088
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav79,79,5,750.8372066,750.9409904,2293.161459
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav80,80,6,751.0080174,751.109639,2253.212851
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav81,81,7,751.1745039,751.2847742,2339.666872
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav82,82,8,751.3366661,751.4512606,2294.875346
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav83,83,9,751.4966661,751.6004498,2302.796592
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav84,84,10,751.6588282,751.7474769,2402.378517
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav85,85,11,751.8166661,751.9161255,2432.687486
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav86,86,12,751.9766661,752.0890985,2409.981851
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav87,87,13,752.1431525,752.2318012,2413.657289
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav88,88,14,752.2988282,752.3939634,2417.302193
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav89,89,1,784.4415309,784.5777471,3552.663116
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav90,90,2,784.7507201,784.8934227,3510.343184
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav91,91,3,785.0512606,785.2069363,3429.857268
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav92,92,4,785.3280174,785.4858552,3503.419049
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav93,93,1,846.7939634,847.1161255,6496.431588
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav94,94,2,847.4620715,848.1150444,6459.485363
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav95,95,3,848.3247742,848.9474769,6593.642124
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav96,96,4,849.1485579,849.7301796,6638.210526
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav97,97,5,849.9161255,850.469639,6679.1356
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav99,99,1,987.2545039,987.6739634,3571.101141
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav100,100,2,987.9766661,988.469639,3497.005658
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav101,101,3,988.7139634,989.1615309,3536.847705
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav107,107,1,1043.635044,1043.756126,2345.393258
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav108,108,2,1043.881531,1043.972342,2312.359551
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav109,109,3,1044.045855,1044.143153,2291.843393
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav110,110,4,1044.203693,1044.311801,2284.542785
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav111,111,5,1044.368017,1044.473963,2283.800556
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav112,112,6,1044.523693,1044.627477,2370.242517
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav113,113,7,1044.685855,1044.789639,2399.147913
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav114,114,8,1044.839369,1044.945315,2397.046865
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav115,115,9,1045.003693,1045.107477,2399.147913
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav116,116,10,1045.168017,1045.265315,2404.893964
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav117,117,11,1045.332342,1045.429639,2404.893964
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav119,119,1,1097.263153,1097.334504,3124.976168
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav120,120,2,1097.52045,1097.632882,3219.23775
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav121,121,3,1097.805855,1097.948558,3293.13632
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav122,122,4,1098.093423,1098.223153,3290.929745
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav123,123,5,1098.311801,1098.484774,3289.146677
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav124,124,6,1098.586396,1098.761531,3248.692387
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav125,125,7,1098.869639,1099.003693,3222.462788
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav126,126,8,1099.092342,1099.254504,3212.541946
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav127,127,9,1099.323693,1099.509639,3215.681015
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav128,128,10,1099.578828,1099.76045,3220.786517
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav129,129,11,1099.827477,1099.998288,3213.978495
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav130,130,12,1100.073963,1100.275044,3202.571042
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav131,131,13,1100.342071,1100.543153,3212.516915
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav132,132,14,1100.608017,1100.80045,3211.240721
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav133,133,15,1100.906396,1101.085855,3164.725205
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav134,134,16,1101.18099,1101.353963,3167.754621
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav136,136,1,1161.619909,1162.024234,1360.271437
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav137,137,2,1162.324774,1162.72045,1382.389685
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav138,138,3,1162.893423,1163.241531,1410.441636
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav139,139,1,1183.702071,1183.784234,1557.615894
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav140,140,2,1183.959369,1184.102071,1604.528122
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav141,141,3,1184.238288,1184.389639,1598.831461
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav142,142,4,1184.538828,1184.69018,1585.617978
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav143,143,5,1184.848017,1185.001531,1602.451994
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav145,145,1,1211.092342,1211.557207,2742.671089
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav146,146,2,1211.885855,1212.443693,2826.946059
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav147,147,3,1212.679369,1213.129098,2846.021982
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav149,149,1,1254.056666,1254.592882,5805.281631
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav150,150,2,1254.80045,1255.328017,5883.53821
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav151,151,3,1255.529098,1256.004774,5524.587663
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav152,152,1,1267.271801,1267.371261,2281.901071
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav153,153,2,1267.433963,1267.537747,2283.526327
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav154,154,3,1267.593963,1267.702071,2275.293624
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav155,155,4,1267.747477,1267.862071,2277.423823
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav156,156,5,1267.913963,1268.026396,2338.838475
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav157,157,6,1268.069639,1268.182071,2285.480944
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav158,158,7,1268.236126,1268.339909,2379.877649
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav159,159,8,1268.396126,1268.504234,2377.034396
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav160,160,9,1268.54099,1268.657747,2338.182171
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav161,161,10,1268.705315,1268.815585,2403.146206
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav162,162,11,1268.88045,1268.986396,2274.363364
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav163,163,1,1343.697747,1343.831801,2096.092693
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav164,164,2,1344.056666,1344.205855,2091.06383
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav165,165,3,1344.422071,1344.577747,2093.882901
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav166,166,4,1344.772342,1344.932342,2099.702423
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav167,167,5,1345.10099,1345.265315,2093.335173
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav168,168,6,1345.433963,1345.60045,2102.001907
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav169,169,7,1345.779909,1345.955044,2095.378042
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav170,170,8,1346.143153,1346.277207,2103.552097
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav172,172,1,1485.565855,1485.66099,2038.941849
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav173,173,2,1485.95072,1486.076126,1969.390707
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav174,174,3,1486.376666,1486.545315,1950.645335
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav175,175,4,1486.774504,1486.977747,1849.799197
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav176,176,5,1487.17018,1487.392882,1926.175932
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav177,177,1,1548.664234,1549.027477,1475.505618
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav178,178,2,1549.252342,1549.63072,1363.67232
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav179,179,3,1549.896666,1550.249098,1466.878981
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav180,180,1,1566.463153,1566.582071,3438.875119
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav181,181,2,1566.761531,1566.949639,3444.648023
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav182,182,3,1567.059909,1567.258828,3428.268551
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav183,183,4,1567.39072,1567.583153,3330.752916
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav184,184,5,1567.671801,1567.868558,3293.396335
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav185,185,6,1567.976666,1568.169098,3335.949099
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav186,186,7,1568.275044,1568.486936,3289.213483
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav187,187,8,1568.564774,1568.772342,3290.39764
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav188,188,9,1568.856666,1569.066396,3289.621622
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav189,189,10,1569.144234,1569.349639,3285.958715
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav190,190,11,1569.436126,1569.635044,3287.518523
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav191,191,12,1569.719369,1569.909639,3279.513765
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav192,192,13,1569.996126,1570.195044,3277.464949
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav193,193,14,1570.283693,1570.484774,3252.300406
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav194,194,15,1570.562612,1570.755044,3242.417815
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav195,195,16,1570.841531,1571.031801,3242.724348
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav196,196,17,1571.107477,1571.319369,3242.022472
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav197,197,18,1571.39072,1571.602612,3218.426966
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav198,198,19,1571.669639,1571.877207,3213.316583
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav199,199,20,1571.963693,1572.16045,3212.077907
PAIR_Mumbo_Jumbo_100521_denoisedcutch2_Jumbo.wav200,200,21,1572.238288,1572.393963,3205.053889
