Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav1,1,1,7.547007452,7.879982313,6963.654653
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav2,2,2,8.055118441,8.584851174,6963.654653
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav3,3,3,8.801068616,9.389180058,6694.235811
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav4,4,4,9.559991837,10.12864371,6750.933089
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav5,5,5,10.33837463,10.91783737,6737.092545
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav6,6,1,16.57187813,16.70160859,2080.915764
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav7,7,2,16.8616095,16.99133996,2057.794477
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav8,8,3,17.09728651,17.22053045,2060.596026
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav9,9,4,17.326477,17.46053181,2051.336265
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav10,10,5,17.54918096,17.6810736,2031.768953
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav11,11,6,17.75242536,17.90377757,2061.303371
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav12,12,7,17.97296715,18.12648153,2038.892171
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav13,13,8,18.19350894,18.34486115,2008.449438
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav14,14,9,18.42918595,18.58053816,1982.022472
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav15,15,10,18.65621427,18.81189083,1997.538596
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav16,16,1,24.9394251,25.38050868,3774.753239
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav17,17,2,25.67888875,26.11997234,3756.616286
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav18,18,3,26.32754108,26.73402987,3692.424834
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav19,19,1,35.71132137,36.13294538,3811.374637
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav20,20,2,36.4270011,36.86808468,3727.143738
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav21,21,3,37.14699385,37.58375308,3688.355311
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav22,22,4,37.88429532,38.30591934,3628.75121
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav23,23,5,38.50483938,38.94159861,3624.249818
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav24,24,1,106.3167341,106.7967341,2737.370684
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav25,25,2,107.0648422,107.5751125,2661.325157
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav26,26,3,107.7740314,108.2475449,2603.931616
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav27,27,4,108.4594368,108.9243016,2583.48861
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav28,28,5,109.1318692,109.5664638,2563.257852
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav29,29,6,109.7632206,110.195653,2511.278905
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav30,30,7,110.4097071,110.8464638,2486.506412
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav31,31,8,111.0778152,111.5188962,2443.954349
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav32,32,9,111.7761935,112.2129501,2417.818389
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav33,33,1,118.6734908,119.1534908,2647.791582
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav34,34,2,119.4043016,119.9059233,2567.615948
PAIR_Legolas_FrogGuy_070520_denoisedch1_Legolas.wav35,35,3,120.0961935,120.5761935,2526.963957
