Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav1,1,1,9.26106272,9.643767592,2325.453253
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav2,2,2,10.17998685,10.81566613,2236.933723
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav3,3,3,11.07728923,11.71080634,2272.951788
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav4,4,4,11.91403939,12.60593521,2266.207846
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav5,5,5,12.74647655,13.24377666,2292.371529
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav6,6,6,13.42539931,13.87729377,2274.815595
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav7,7,7,14.01782377,14.48917779,2278.510608
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav8,8,8,14.69026001,15.14431664,2288.249101
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav9,9,9,15.23512796,15.71513069,2322.806935
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav10,10,10,15.85134767,16.3227017,2278.510608
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav11,11,11,16.45456032,16.9302387,2295.604919
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav12,12,12,17.06645568,17.56808015,2366.273393
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav13,13,13,17.71294584,18.19943508,2468.613377
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav14,14,14,18.3378029,18.79402171,2614.875746
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav15,15,15,18.9129413,19.36483575,2666.491043
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav16,16,1,49.50970705,49.59619354,1826.422018
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav17,17,2,49.855653,50.00916651,2012.836041
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav18,18,3,50.28808543,50.38538273,2024.632953
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav19,19,4,50.66213949,50.79403138,2122.743682
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav20,20,5,51.03619354,51.16808543,2122.743682
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav21,21,6,51.38430165,51.55727462,2127.251278
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav22,22,7,51.75619354,51.935653,2106.102337
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav23,23,8,52.11511246,52.27511246,2137.197109
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav24,24,9,52.5129503,52.67727462,2123.761557
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav25,25,10,52.87619354,53.03619354,2124.698881
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav26,26,11,53.26970705,53.44051786,2125.089606
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav27,27,12,53.65240976,53.84916651,2119.36153
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav28,28,13,54.02213949,54.19727462,2089.668566
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav29,29,14,54.43078814,54.61889624,2115.694311
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav30,30,1,82.26862597,82.65781516,3232.218597
PAIR_Triller_Mecca_040521_denoisedcut1ch2_Mecca.wav31,31,2,83.00376111,83.37349084,3245.43113
