Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav1,1,1,3.552956266,3.907552871,1325.425246
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav2,2,2,4.175662499,4.608097383,1362.010382
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav3,3,3,4.891342232,5.27188493,1390.114408
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav4,4,1,54.24700435,54.37889624,2084.837545
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav5,5,2,54.5929503,54.735653,2052.955195
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav6,6,3,54.90213949,55.0383557,2055.259654
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav8,8,1,74.88484219,75.41673408,7604.744852
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav9,9,2,75.72159895,76.2383557,7667.041116
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav10,10,3,76.46970705,76.87619354,7687.426786
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav11,11,1,189.8210584,190.2837611,2493.942958
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav12,12,2,190.6080854,191.1118692,2360.125129
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav13,13,3,191.4188962,191.9053827,2306.231648
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav14,14,1,207.2999773,207.8491665,3055.317919
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav15,15,2,208.0524098,208.5713287,3011.94232
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav16,16,3,208.7464638,209.2264638,2914.445652
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav17,17,4,209.4037611,209.8772746,2836.23695
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav18,18,5,210.0372746,210.5021395,2805.053412
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav28,28,1,261.7907881,261.9313287,3721.24879
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav29,29,2,262.0783557,262.2318692,3654.37223
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav30,30,3,262.3551125,262.5302476,3608.389436
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav31,31,4,262.6383557,262.8372746,3584.09894
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav32,32,5,262.9453827,263.1443016,3548.911433
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav33,33,6,263.2653827,263.4794368,3499.036017
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav34,34,7,263.5918692,263.8015989,3432.648649
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav35,35,8,263.9248422,264.1410584,3422.189597
PAIR_Mumbo_Jumbo_100521_denoisedcutch1_Mumbo.wav42,42,1,306.64268,306.7464638,1994.472362
