Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav1,1,1,8.262149476,8.727016976,5227.208429
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav2,2,2,9.02755922,9.4772915,4951.633559
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav3,3,3,9.652427628,10.19945776,4573.604145
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav4,4,4,10.37242037,10.84593657,4766.254848
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav5,5,5,11.05350531,11.4945889,4749.614436
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav6,6,6,11.68702242,12.1194573,4719.631902
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav7,7,7,12.31836601,12.7162061,4705.340553
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav14,14,1,36.8588756,36.95401128,3520.853194
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav15,15,2,37.20266133,37.31725658,3525.207756
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav16,16,3,37.47941966,37.63293404,3530.605613
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav17,17,4,37.76050233,37.92266542,3533.17953
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav18,18,5,38.06320675,38.21888331,3519.778619
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav33,33,1,168.7810584,169.1940314,5385.076594
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav34,34,2,169.4815989,169.9594368,4997.427988
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav36,36,1,225.7453827,225.8383557,1699.049012
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav37,37,2,225.9572746,226.0480854,1684.719101
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav38,38,3,226.1615989,226.2545719,1699.049012
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav39,39,4,226.3691665,226.4675449,1636.34478
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav40,40,5,226.5821395,226.6859233,1686.148132
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav41,41,6,226.8091665,226.9172746,1646.350671
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav44,44,1,262.0599773,262.52268,2446.398118
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav45,45,2,262.7302476,263.1680854,2432.363147
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav46,46,1,293.495653,293.9280854,6460.877773
PAIR_Nocciolato_Asimov_090521_denoisedcutch1_Noccio.wav47,47,2,294.1140314,294.4880854,6255.698351
