Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav1,1,1,3.855122155,3.914582288,1967.098742
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav2,2,2,4.188098903,4.283235117,1996.901811
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav3,3,3,4.58160554,4.704850181,2044.370861
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav4,4,4,4.972961329,5.115665649,2045.948522
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav5,5,5,5.370803677,5.511345811,2042.061955
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav6,6,6,5.744850634,5.911339008,2047.950429
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav7,7,7,6.129719863,6.321073384,2048.489157
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav8,8,8,6.519994558,6.681077465,2054.771959
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav9,9,9,6.905933542,7.079989569,2051.029182
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav10,10,10,7.243234663,7.439993651,2042.890067
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav11,11,11,7.608632874,7.785932181,2024.798568
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav12,12,12,7.951339462,8.19026109,2063.329221
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav13,13,13,8.36215493,8.616211865,2090.066048
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav14,14,14,8.752418288,9.010799596,2132.435279
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav15,15,15,9.172963596,9.497291598,2102.789625
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav16,16,16,9.663768634,9.978366795,2053.380424
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav17,17,17,10.16647704,10.53621096,2085.189501
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav18,18,18,10.74917501,11.06377317,1977.093845
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav19,19,19,11.24107248,11.63242826,2036.485312
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav20,20,20,11.82160826,12.1556661,1999.647027
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav21,21,21,12.39674992,12.76864603,1992.445583
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav22,22,22,12.96755586,13.33728978,1979.712989
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav23,23,1,76.83567568,77.27675676,3144.494139
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav24,24,2,77.67891892,78.17621622,3251.548037
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav25,25,3,78.43567568,78.91351351,3180.942438
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav26,26,4,79.17945946,79.63351351,3182.406113
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav27,27,5,79.84972973,80.32756757,3130.717031
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav28,28,1,155.0432432,155.2962162,5221.48427
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav29,29,2,155.6918919,156.1502703,5346.975019
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav30,30,3,156.3448649,156.8248649,5256.001701
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav31,31,4,156.9848649,157.4518919,5149.567877
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav32,32,5,157.6248649,158.1027027,4980.686186
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav33,33,6,158.2410811,158.6410811,4844.725356
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav34,34,7,158.8075676,159.2659459,4788.49864
PAIR_Chimichanga_OzzyII_290421_denoisedch2_Ozzy.wav35,35,8,159.4151351,159.8389189,4775.985874
