Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav1,1,1,38.95996009,39.25185364,5741.598695
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav2,2,2,39.51131457,39.79239724,5649.46757
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav3,3,3,40.11239906,40.47564436,5612.977528
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav4,4,4,40.71348354,41.18916192,5591.858137
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav5,5,5,41.42916328,41.84646294,5605.058958
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav6,6,6,42.17077777,42.5988883,5601.260593
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav7,7,7,42.84105184,43.27997324,5572.588728
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav8,8,8,43.55672023,43.99347946,5451.25636
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav9,9,1,116.2507881,116.5643016,1607.579922
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav10,10,2,116.8302476,117.2021395,1589.116517
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav11,11,3,117.4529503,117.8918692,1585.658935
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav12,12,4,118.0778152,118.4713287,1611.121355
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav13,13,5,118.70268,119.1005179,1613.69051
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav14,14,6,119.3188962,119.7102476,1614.879193
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav18,18,1,242.9037611,243.3102476,2651.854744
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav19,19,2,243.4399773,243.8940314,2583.364962
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav20,20,3,244.0929503,244.5124098,2543.634791
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav21,21,1,249.9697071,250.0583557,1432.404092
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav22,22,2,250.2399773,250.3524098,1440.653358
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav23,23,3,250.5361935,250.6551125,1420.953289
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav24,24,4,250.8324098,250.968626,1431.341545
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav25,25,5,251.1545719,251.2951125,1394.578896
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav26,26,6,251.4659233,251.5502476,1387.389083
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav28,28,1,295.5567341,295.9113287,2444.986571
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav29,29,2,296.1967341,296.635653,2458.226998
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav30,30,3,296.9405179,297.3772746,2463.610404
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav31,31,1,355.3124098,355.4140314,2095.783133
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav32,32,2,355.6583557,355.7902476,2100
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav33,33,3,356.0107881,356.1664638,2106.728809
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav34,34,4,356.3783557,356.5361935,2134.994972
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav35,35,5,356.728626,356.8778152,2151.382979
PAIR_Triller_Mecca_040521_denoisedcut1ch1_Triller.wav36,36,6,357.1070044,357.2605179,2149.630724
