Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav1,1,1,2.719439272,3.164849727,5926.996895
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav2,2,2,3.462150395,3.893506637,5937.02886
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav3,3,3,4.215661114,4.621071116,5734.800604
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav11,11,1,26.77027027,26.88162162,1382.895541
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav12,12,2,27.13891892,27.25675676,1417.106023
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav13,13,3,27.49783784,27.63513514,1463.930636
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav14,14,4,27.86648649,28.01459459,1471.800367
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav15,15,5,28.23945946,28.37135135,1478.33935
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav16,16,6,28.61351351,28.74648649,1496.317136
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav17,17,7,28.98972973,29.14,1477.320054
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav18,18,8,29.36702703,29.51297297,1486.670809
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav19,19,9,29.74756757,29.88810811,1465.730881
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav20,20,1,52.01135135,52.10648649,2354.242135
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav21,21,2,52.36594595,52.45135135,2376.506504
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav22,22,3,52.7172973,52.81891892,2361.445783
PAIR_BrummelTante_PsychoWhistler_090521_denoisedch2_Whistler.wav23,23,4,53.0772973,53.17675676,2362.320492
