Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav1,1,1,29.45565571,30.04376548,2559.010642
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav2,2,2,30.2470093,30.70538898,2604.768736
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav3,3,3,30.89998413,31.29349876,2622.519304
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav4,4,1,133.5508108,134.0481081,3677.350045
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav5,5,2,134.2081081,134.74,3677.350045
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav6,6,3,135.0383784,135.6654054,3685.632142
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav7,7,4,135.8383784,136.3962162,3651.546685
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav8,8,1,141.0751351,141.2048649,2019.259
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav9,9,2,141.3518919,141.4772973,2065.069608
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav10,10,3,141.5637838,141.6978378,2081.173884
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav11,11,4,141.7886486,141.9183784,2080.915764
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav12,12,5,142.0005405,142.1432432,2094.995234
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav13,13,6,142.2210811,142.3594595,2109.978699
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav14,14,7,142.432973,142.567027,2111.011502
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav15,15,8,142.6362162,142.7789189,2109.00858
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav16,16,1,160.4956757,160.7940541,7004.255643
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav17,17,2,161.0405405,161.3648649,6854.10753
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav18,18,3,161.5464865,161.8535135,6888.589365
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav19,19,1,226.0783784,226.5021622,5649.066296
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav20,20,2,226.6837838,227.1378378,5391.370356
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav21,21,1,251.7216216,252.2535135,3254.341987
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav22,22,2,252.4005405,252.8935135,3322.56106
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav23,23,1,258.8264865,259.3194595,3202.883952
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav24,24,2,259.4794595,260.0372973,3251.794642
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav25,25,3,260.2362162,260.6513514,3290.39764
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav26,26,1,280.0718919,280.1972973,1427.210269
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav27,27,2,280.4524324,280.6167568,1490.892783
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav28,28,3,280.8632432,281.0275676,1515.23389
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav29,29,4,281.2827027,281.472973,1518.877369
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav30,30,1,300.3918919,300.5,2108.808725
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav31,31,2,300.7248649,300.8416216,2141.192465
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav32,32,3,301.0491892,301.1918919,2137.035272
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav33,33,4,301.3821622,301.5248649,2165.061964
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav34,34,1,338.4891892,338.6751351,2382.185099
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav35,35,2,338.8783784,339.1075676,2469.390582
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav36,36,3,339.2718919,339.5745946,2437.88764
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav37,37,4,339.6783784,339.9464865,2431.7659
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav38,38,1,368.832973,368.98,1904.380012
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav39,39,2,369.1962162,369.3735135,1934.556849
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav40,40,3,369.5681081,369.7713514,1943.273092
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav41,41,4,369.94,370.1605405,1967.859346
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav42,42,5,370.3291892,370.5843243,1975.32883
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav43,43,6,370.7313514,370.9908108,1980.896618
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav44,44,1,384.5518919,385.0967568,2600.595114
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav45,45,2,385.3605405,385.8059459,2608.776663
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav46,46,3,386.0264865,386.4243243,2631.672841
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav47,47,1,535.1248649,535.6264865,3255.37022
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav48,48,2,535.847027,536.3183784,3258.652042
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav49,49,1,684.3097297,684.7767568,5485.735094
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav50,50,2,684.98,685.3735135,5323.815835
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav51,51,3,685.5681081,685.9313514,5483.595506
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav52,52,1,727.2416216,727.38,1394.609209
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav53,53,2,727.6264865,727.7864865,1462.292759
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav54,54,3,728.0286486,728.1972973,1500.040333
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav55,55,4,728.4481081,728.672973,1529.736816
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav56,56,5,728.8027027,729.0318919,1553.185596
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav57,57,6,729.1789189,729.4383784,1560.823211
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav58,58,7,729.5767568,729.8491892,1581.947566
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav59,59,1,831.1075676,831.22,1743.012704
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav60,60,2,831.3410811,831.4751351,1693.284844
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav61,61,3,831.5745946,831.7302703,1695.659773
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav62,62,4,831.8081081,831.9681081,1712.257333
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav63,63,5,832.0545946,832.2232432,1707.555795
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav64,64,1,852.7767568,853.3043243,3588.124302
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav65,65,2,853.5335135,854.0005405,3599.344533
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav66,66,1,863.2935135,863.4016216,1979.32047
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav67,67,2,863.5702703,863.7086486,2030.4932
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav68,68,3,863.8124324,863.9594595,2060.811228
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav69,69,4,864.0286486,864.1497297,2081.123596
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav70,70,5,864.2145946,864.3659459,2081.123596
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav71,71,6,864.4437838,864.5648649,2097.640449
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav72,72,7,864.6427027,864.7854054,2109.00858
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav73,73,8,864.8502703,864.9972973,2115.222085
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav74,74,9,865.0621622,865.2091892,2122.023442
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav75,75,1,952.6686486,952.8805405,4270.786517
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav76,76,2,953.0016216,953.46,4249.656196
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav77,77,3,953.6459459,954.0437838,4255.417498
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav78,78,1,1028.967027,1029.161622,3525.122349
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav79,79,2,1029.325946,1029.546486,3527.637261
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav80,80,3,1029.671892,1029.935676,3453.545947
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav81,81,4,1030.039459,1030.298919,3449.226601
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav82,82,5,1030.385405,1030.657838,3409.812734
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav83,83,1,1122.679459,1123.116216,5611.811432
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav84,84,2,1123.34973,1123.808108,5403.695276
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav85,85,3,1124.041622,1124.448108,5237.290121
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav86,86,1,1152.417838,1153.031892,3183.733383
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav87,87,2,1153.196216,1153.693514,3239.482924
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav88,88,1,1158.212432,1158.701081,3143.276102
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav89,89,2,1158.852432,1159.418919,3166.769403
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav90,90,3,1159.613514,1160.067568,3233.060328
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav91,91,1,1172.95753,1173.076448,1404.137274
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav92,92,2,1173.344557,1173.478611,1439.665088
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav93,93,3,1173.735908,1173.902394,1477.407054
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav94,94,1,1271.134827,1271.601854,2498.771606
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav95,95,2,1271.815908,1272.265638,2556.972875
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav96,96,1,1320.239692,1320.336989,1942.414356
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav97,97,2,1320.512124,1320.61807,1991.247593
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav98,98,3,1320.775908,1320.905638,2034.673191
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav99,99,4,1320.974827,1321.139151,2062.90879
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav100,100,5,1321.201854,1321.353205,2081.123596
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav101,101,6,1321.396448,1321.541313,2105.259039
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav102,102,7,1321.614827,1321.770503,2113.151762
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav103,103,8,1321.835367,1321.975908,2113.21394
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav104,104,9,1322.038611,1322.194286,2132.420623
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav105,105,10,1322.254827,1322.386719,2130.32491
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav106,106,1,1342.95753,1343.039692,1934.850993
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav107,107,2,1343.232124,1343.33807,2000.684785
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav108,108,3,1343.491584,1343.621313,2050.087382
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav109,109,4,1343.725097,1343.854827,2065.501573
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav110,110,5,1343.930503,1344.05807,2092.907927
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav111,111,6,1344.142394,1344.2678,2112.909058
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav112,112,7,1344.339151,1344.475367,2113.981358
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav113,113,8,1344.551043,1344.680773,2127.158336
PAIR_Reginald_Uilli_070520_denoisedch1_Regi.wav114,114,9,1344.752124,1344.892665,2134.559535
