Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav1,1,1,26.58431346,26.7335035,1373.93617
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav2,2,2,26.96485616,27.12269489,1425.441747
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav3,3,3,27.34323669,27.49675107,1459.143279
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav4,4,4,27.72161721,27.88161812,1449.79453
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav5,5,1,30.86106045,31.17673792,2869.889384
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav6,6,2,31.48809103,31.73457892,2762.588538
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav7,7,3,31.88593113,32.09349987,2755.647804
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav8,8,4,32.23404121,32.43944778,2760.205321
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav9,9,5,32.54323215,32.77674699,2774.715992
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav10,10,6,32.86323396,33.06864053,2779.677669
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav11,11,7,33.15296534,33.34539886,2774.7614
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav12,12,8,33.43837236,33.65675198,2774.85204
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav13,13,9,33.7475633,33.9464834,2764.732703
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav14,14,10,34.04810555,34.27729603,2761.703601
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav15,15,11,34.35728515,34.58647564,2761.703601
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav16,16,12,34.68593566,34.88485571,2779.813063
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav17,17,13,35.00161313,35.20053317,2759.705916
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav18,18,14,35.31944143,35.53565887,2765.499161
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav19,19,15,35.63728107,35.85566069,2770.273077
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav20,20,16,35.96809375,36.18863555,2761.351018
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav21,21,17,36.29241992,36.50863736,2770.123742
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav22,22,18,36.62107043,36.83728787,2765.499161
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav23,23,19,36.94107224,37.16377621,2765.791081
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav24,24,20,37.2740471,37.48810237,2765.59322
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav25,25,21,37.59404892,37.81242853,2761.115149
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav26,26,22,37.91837508,38.128106,2765.189189
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav27,27,23,38.23187903,38.44377213,2770.11236
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav28,28,24,38.55404302,38.76593612,2779.550562
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav29,29,25,38.86755831,39.06647836,2764.732703
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav30,30,26,39.16593838,39.38215583,2737.751678
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav33,33,1,107.0432089,107.5253711,6740.265237
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav34,34,2,107.897263,108.3534792,6744.319085
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav35,35,3,108.4788846,108.9048305,6798.701091
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav36,36,1,112.1934792,112.6388846,6946.260754
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav37,37,1,127.4648305,127.56429,2010.485525
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav38,38,2,127.7632089,127.8799657,2021.285687
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav39,39,3,127.9923981,128.1199657,2045.876289
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav40,40,4,128.20429,128.3318576,2038.037682
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav41,41,5,128.4053711,128.5329387,2030.199076
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav42,42,6,128.5978035,128.7340197,2047.919441
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav43,43,7,128.8075332,128.937263,2042.380287
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav44,44,8,129.0107765,129.1491549,2052.171063
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav45,45,1,133.3156414,133.7632089,3682.075185
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav46,46,2,134.0551008,134.4810468,3678.717061
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav47,47,3,134.7923981,135.1988846,3702.26474
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav48,48,4,135.4215873,135.8237495,3637.702977
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav49,49,1,138.7859116,139.2832089,3870.89052
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav50,50,2,139.5729387,140.0399657,3706.404156
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav51,51,3,140.3469927,140.8075332,3704.313146
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav52,52,4,140.9740197,141.3718576,3624.519806
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav53,53,5,141.5556414,141.9707765,3552.954992
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav54,54,1,154.7556414,154.8529387,2353.507341
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav55,55,2,155.1880738,155.2918576,2322.066856
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav56,56,3,155.4107765,155.5167224,2321.549326
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav57,57,4,155.5751008,155.6832089,2340.037752
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav58,58,5,155.7221278,155.8129387,2345.393258
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav59,59,6,155.871317,155.9751008,2350.972253
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav60,60,7,156.0356414,156.1329387,2353.507341
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav61,61,8,156.1934792,156.2951008,2361.445783
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav62,62,9,156.3556414,156.4551008,2372.37292
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav63,63,10,156.5221278,156.6194251,2363.784666
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav64,64,11,156.68429,156.7837495,2342.215637
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav65,65,12,156.8464522,156.9437495,2363.784666
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav66,66,13,157.00429,157.110236,2330.986518
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav67,67,14,157.1686143,157.2529387,2359.747244
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav68,68,1,175.3632089,175.8410468,1249.356997
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav69,69,2,176.1005062,176.5005062,1319.925174
PAIR_Reginald_Uilli_070520_denoisedch2_Uilli.wav70,70,3,176.6951008,177.1015873,1471.06599
