Row,whistle_number,label,start_seconds,stop_seconds,pitch_whistles
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav1,1,1,31.02431029,31.14322988,1538.665396
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav2,2,2,31.19079772,31.30539296,1596.814404
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav3,3,3,31.36809602,31.48701562,1639.561487
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav4,4,4,31.5389078,31.66863827,1672.439706
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav5,5,5,31.7248548,31.85242309,1669.623178
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav6,6,6,31.89999093,32.02755922,1693.138998
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav8,8,1,189.5194595,190.0578378,5575.883418
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav9,9,2,190.2827027,190.7172973,5542.987582
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav10,10,1,312.2027027,312.3194595,2089.803845
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav11,11,2,312.5032432,312.6264865,2076.821192
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav12,12,3,312.8081081,312.9767568,2098.870664
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav13,13,4,313.1216216,313.3227027,2098.579161
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav14,14,5,313.4481081,313.5994595,2114.157303
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav15,15,6,313.7702703,313.9281081,2103.318489
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav16,16,7,314.1097297,314.2891892,2117.245736
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav17,17,8,314.4362162,314.6135135,2137.600716
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav18,18,9,314.7756757,314.9356757,2143.446224
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav19,19,10,315.112973,315.2751351,2145.805369
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav20,20,11,315.4567568,315.6232432,2114.013346
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav21,21,12,315.7897297,315.9756757,2145.579807
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav22,22,13,316.1335135,316.2956757,2139.639262
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav23,23,14,316.4837838,316.6567565,2115.69013
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav24,24,15,316.8254054,316.9659459,2148.789932
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav25,25,16,317.1627027,317.3378378,2146.763335
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav26,26,17,317.512973,317.6643243,2147.191011
PAIR_Wigwam_EasyRider_090521_denoisedch1_Wigwam.wav27,27,18,317.8545946,318.0232432,2146.30277
