bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,
BigMac,0,1,1,1,1781.022159,,
BigMac,0,1,1,2,1750,,
BigMac,0,1,1,3,1736.861538,,
BigMac,0,1,1,4,1717.977127,,
BigMac,0,1,1,5,1707.860429,,
BigMac,0,1,1,6,1713.062908,,
BigMac,0,1,1,7,1684.719101,,
Gasolino,1,1,1,1,1656.464334,,
Gasolino,1,1,1,2,1616.055912,,
Gasolino,1,1,1,3,1639.325495,,
Gasolino,1,1,1,4,1646.09375,,
Gasolino,1,1,1,5,1641.214314,,
Gasolino,1,1,1,6,1636.212039,,
Gasolino,1,1,1,7,1672.142565,,
Gasolino,1,1,1,8,1646.204071,,
BigMac,0,5,2,1,5791.175591,,
BigMac,0,5,2,2,5736.295698,,
BigMac,0,5,2,3,5774.043019,,
Gasolino,1,5,2,1,1545.840533,,
Gasolino,1,5,2,2,1555.460958,,
Gasolino,1,5,2,3,1573.883243,,
Gasolino,1,5,2,4,1584.064298,,
Gasolino,1,5,2,5,1616.515651,,
Gasolino,1,5,2,6,1607.064332,,
Gasolino,1,5,2,7,1607.725727,,
Gasolino,1,5,2,8,1600.857351,,
Gasolino,1,5,2,9,1628.693182,,
Gasolino,1,5,2,10,1625.670241,,
Gasolino,1,5,2,11,1614.274297,,
Gasolino,1,5,2,12,1631.573276,,
Gasolino,1,5,2,13,1624.004209,,
Gasolino,1,5,2,14,1637.740041,,
Gasolino,1,5,2,15,1613.797522,,
Gasolino,1,5,2,16,1620.612111,,
Gasolino,1,5,2,17,1626.072176,,
Gasolino,1,5,2,18,1597.187888,,
BigMac,0,6,3,1,2351.486014,,
BigMac,0,6,3,2,2299.843994,,
BigMac,0,6,3,3,2345.682964,,
BigMac,0,6,3,4,2354.745504,,
Gasolino,1,6,3,1,1957.935134,,
Gasolino,1,6,3,2,1988.881447,,
Gasolino,1,6,3,3,1995.241911,,
Gasolino,1,6,3,4,1998.772628,,
BigMac,0,8,4,1,3170.327827,,
BigMac,0,8,4,2,3048.433081,,
BigMac,0,8,4,3,3040.348101,,
BigMac,0,8,4,4,3064.192657,,
BigMac,0,8,4,5,3046.823404,,
BigMac,0,8,4,6,3023.204677,,
BigMac,0,8,4,7,3046.75784,,
BigMac,0,8,4,8,3049.118669,,
BigMac,0,8,4,9,3039.255571,,
Gasolino,1,8,4,1,3044.640657,,
Gasolino,1,8,4,2,3077.91762,,
Gasolino,1,8,4,3,3031.826225,,
Gasolino,1,8,4,4,3038.181359,,
Gasolino,1,8,4,5,2943.345442,,
BigMac,0,10,5,1,2446.719863,,
BigMac,0,10,5,2,2293.885575,,
BigMac,0,10,5,3,2370.949571,,
BigMac,0,10,5,4,2373.414069,,
Gasolino,1,10,5,1,1904.375751,,
Gasolino,1,10,5,2,1900.047608,,
BigMac,0,11,6,1,1595.879613,,
BigMac,0,11,6,2,1703.560632,,
BigMac,0,11,6,3,1703.50808,,
Gasolino,1,11,6,1,5352.610442,,
Gasolino,1,11,6,2,5208.702308,,
Gasolino,1,11,6,3,5116.622288,,
BigMac,0,12,7,1,3621.402917,,
BigMac,0,12,7,2,3658.306295,,
BigMac,0,12,7,3,3684.553534,,
BigMac,0,12,7,4,3754.857265,,
Gasolino,1,12,7,1,3672.735276,,
Gasolino,1,12,7,2,3671.47149,,
Gasolino,1,12,7,3,3754.450322,,
Gasolino,1,12,7,4,3819.928489,,
Gasolino,1,12,7,5,3873.4375,,
BigMac,0,13,6,1,3627.09346,1.852423784,2.262928949
BigMac,0,13,6,2,3659.182784,2.546780045,2.962990678
BigMac,0,13,6,3,3687.090187,3.117641723,3.51739229
BigMac,0,13,6,4,3721.741733,3.62531746,3.928381204
