bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,start,stop
BigMac,1,2,1,1,5657.768852,0.198820862,0.571391175
BigMac,1,2,1,2,5559.113686,0.843537415,1.277942453
BigMac,1,2,1,3,5507.613032,1.532517007,1.941746032
BigMac,1,2,1,4,5602.912446,2.072743764,2.448785475
BigMac,1,2,1,5,5454.692122,2.528072562,2.949705583
BigMac,1,2,1,6,5413.415169,3.088253968,3.398592094
Gasolino,0,2,1,1,3638.343943,2.685170068,3.137573696
Gasolino,0,2,1,2,3640.516605,3.426006607,4.071226806
Gasolino,0,2,1,3,3724.96472,4.249977324,4.908761978
Gasolino,0,2,1,4,3771.254189,5.069206349,5.732374186
Gasolino,0,2,1,5,3777.023036,5.894965986,6.509183673
Gasolino,0,2,1,6,3881.520946,6.6967445,7.318142673
BigMac,1,3,2,1,3118.181818,0.436756046,0.517567004
BigMac,1,3,2,2,3121.171446,0.728376417,0.802702605
BigMac,1,3,2,3,3112.250333,0.952698106,1.037833045
BigMac,1,3,2,4,3078.919961,1.182432432,1.299999792
BigMac,1,3,2,5,3100.918897,1.397297322,1.510810713
BigMac,1,3,2,6,3107.718121,1.601351486,1.729729656
BigMac,1,3,2,7,3113.372093,1.805405405,1.941891941
BigMac,1,3,2,8,3040.103992,2.007637458,2.142822565
BigMac,1,3,2,9,3097.258853,2.215306122,2.368325354
BigMac,1,3,2,10,3002.34375,2.426485261,2.528049887
BigMac,1,3,2,11,3058.087176,2.618412698,2.744285714
BigMac,1,3,2,12,3012.135279,2.830657596,2.967414966
BigMac,1,3,2,13,3037.848297,3.036734694,3.18319973
BigMac,1,3,2,14,3038.627506,3.25478458,3.417664399
BigMac,1,3,2,15,3010.317737,3.485170068,3.615034014
BigMac,1,3,2,16,3019.952092,3.690668628,3.851587302
BigMac,1,3,2,17,3004.175212,3.921225716,4.076006006
BigMac,1,3,2,18,3017.553957,4.144776613,4.286598639
BigMac,1,3,2,19,3015.604909,4.375510204,4.491891279
Gasolino,0,3,2,1,1604.047131,5.63446712,5.722970522
Gasolino,0,3,2,2,1566.77116,5.807505669,5.915986395
Gasolino,0,3,2,3,1601.367602,5.986720598,6.082879819
Gasolino,0,3,2,4,1590.144231,6.155087332,6.258843537
Gasolino,0,3,2,5,1593.457031,6.330340136,6.446417234
Gasolino,0,3,2,6,1602.409639,6.512471655,6.631029601
Gasolino,0,3,2,7,1608.93962,6.707664399,6.813945578
Gasolino,0,3,2,8,1634.331093,6.892698413,7.004058957
Gasolino,0,3,2,9,1625.268912,7.085714286,7.214290004
Gasolino,0,3,2,10,1631.866355,7.290503156,7.416724275
Gasolino,0,3,2,11,1619.735553,7.49170068,7.630605503
Gasolino,0,3,2,12,1633.873635,7.706848073,7.843938837
Gasolino,0,3,2,13,1624.100719,7.919818594,8.052199546
Gasolino,0,3,2,14,1605.935484,8.133514739,8.291655329
Gasolino,0,3,2,15,1632.063443,8.377324263,8.523151927
Gasolino,0,3,2,16,1607.509881,8.614603175,8.769501134
Gasolino,0,3,2,17,1626.232949,8.872562358,9.023817491
Gasolino,0,3,2,18,1629.392249,9.116712018,9.267064411
Gasolino,0,3,2,19,1637.342743,9.360544218,9.508341607
Gasolino,0,3,2,20,1649.133699,9.588390023,9.745442177
Gasolino,0,3,2,21,1649.793862,9.842358277,9.990859227
BigMac,1,4,3,1,2952.901394,0.14292517,0.582145149
BigMac,1,4,3,2,2820.954447,0.729614512,1.200000731
BigMac,1,4,3,3,2827.329703,1.359403116,1.800790725
BigMac,1,4,3,4,2795.497494,1.926893424,2.438072562
BigMac,1,4,3,5,2740.027437,2.584285714,3.096688611
BigMac,1,4,3,6,2784.955501,3.279092971,3.758094507
BigMac,1,4,3,7,2743.959349,3.905148124,4.342471655
Gasolino,0,4,3,1,3056.108525,1.328992807,1.752721088
Gasolino,0,4,3,2,3115.891133,2.049138322,2.591519274
Gasolino,0,4,3,3,3078.719307,2.74829932,3.266371882
Gasolino,0,4,3,4,3108.49278,3.430748299,3.933219955
Gasolino,0,4,3,5,3057.68406,4.095419501,4.602970522
BigMac,1,7,4,1,1857.43893,0.712539683,1.153453308
BigMac,1,7,4,2,1905.932791,1.356443374,1.880062358
BigMac,1,7,4,3,1902.635261,2.062066327,2.548228143
BigMac,1,7,4,4,1930.480416,2.742131519,3.27359057
Gasolino,0,7,4,1,5391.629319,8.942585034,9.413106576
Gasolino,0,7,4,2,5391.629319,9.668208617,10.25122449
BigMac,1,9,5,1,1694.602013,0.535510204,0.659415277
BigMac,1,9,5,2,1704.97076,0.929744898,1.278710003
BigMac,1,9,5,3,1689.80121,1.543969969,1.858784101
BigMac,1,9,5,4,1660.708603,2.188843537,2.616365583
BigMac,1,9,5,5,1635.246778,2.858208617,3.303378685
Gasolino,0,9,5,1,1859.296842,3.146666667,3.622653061
Gasolino,0,9,5,2,1947.661017,3.802267574,4.504648526
Gasolino,0,9,5,3,1987.428163,4.695147392,5.393537415
BigMac,1,15,7,1,1795.843829,1.268475372,1.376496389
BigMac,1,15,7,2,1799.507052,1.551608718,1.717200806
BigMac,1,15,7,3,1806.539596,1.894160613,2.109484967
BigMac,1,15,7,4,1824.935157,2.230112119,2.422430713
BigMac,1,15,7,5,1887.616962,2.59967939,2.827468821
BigMac,1,15,7,6,1928.167617,2.957480789,3.231827916
Gasolino,0,15,7,1,1410.509138,2.906866742,2.941589751
Gasolino,0,15,7,2,1459.105347,3.190052175,3.275702265
Gasolino,0,15,7,3,1447.727273,3.490213302,3.588980974
