bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
BrummelTante,0,2,1,1,3753.419011,31.2435797,31.340877,
BrummelTante,0,2,1,2,3706.681034,31.52898511,31.64574186,
BrummelTante,0,2,1,3,3664.549763,31.81655268,31.94412024,
BrummelTante,0,2,1,4,3693.901543,32.10195808,32.22520132,
BrummelTante,0,2,1,5,3663.208556,32.37763376,32.50844457,
PsychoWhistler,1,2,1,1,1383.347368,26.77027027,26.88162162,1382.895541
PsychoWhistler,1,2,1,2,1412.239686,27.13891892,27.25675676,1417.106023
PsychoWhistler,1,2,1,3,1464.81722,27.49783784,27.63513514,1463.930636
PsychoWhistler,1,2,1,4,1472.143899,27.86648649,28.01459459,1471.800367
PsychoWhistler,1,2,1,5,1478.33935,28.23945946,28.37135135,1478.33935
PsychoWhistler,1,2,1,6,1496.155006,28.61351351,28.74648649,1496.317136
PsychoWhistler,1,2,1,7,1478.250702,28.98972973,29.14,1477.320054
PsychoWhistler,1,2,1,8,1482.455897,29.36702703,29.51297297,1486.670809
BrummelTante,0,4,2,1,2012.041885,407.123557,407.25653,
BrummelTante,0,4,2,2,2074.132139,407.4392327,407.5873408,
BrummelTante,0,4,2,3,2093.568147,407.7592327,407.9354489,
BrummelTante,0,4,2,4,2092.783505,408.0986922,408.2813949,
BrummelTante,0,4,2,5,2089.06072,408.4468003,408.629503,
PsychoWhistler,1,4,2,1,5903.796794,403.7627027,404.2005405,5903.904915
PsychoWhistler,1,4,2,2,5885.366362,404.4902703,404.9302703,5886.060294
PsychoWhistler,1,4,2,3,5799.452055,405.1962162,405.6178378,5801.25847
PsychoWhistler,1,4,2,4,5755.047639,405.9259459,406.3508108,5756.983509
PsychoWhistler,1,4,2,5,5703.946538,406.6405405,407.0491892,5703.978471
PsychoWhistler,1,4,2,6,5605.823492,407.2275676,407.6016216,5606.068138
PsychoWhistler,1,4,2,7,5602.21519,407.7540541,408.1075676,5603.726748
PsychoWhistler,1,4,2,8,5549.784142,408.2545946,408.5745946,5549.606746
BrummelTante,0,5,3,1,1749.484156,537.3803138,537.5511246,
BrummelTante,0,5,3,2,1783.335107,537.703557,537.8743678,
BrummelTante,0,5,3,3,1799.54435,538.0354489,538.2581516,
BrummelTante,0,5,3,4,1798.864592,538.3738273,538.5868003,
BrummelTante,0,5,3,5,1806.344066,538.6970705,538.9403138,
BrummelTante,0,5,3,6,1807.112016,539.0440976,539.3024759,
BrummelTante,0,5,3,7,1798.857868,539.4224759,539.6440976,
BrummelTante,0,5,3,8,1781.247817,539.8019354,540.0213949,
PsychoWhistler,1,5,3,1,4969.891258,529.5767568,529.7691892,4967.550371
PsychoWhistler,1,5,3,2,4827.990431,529.9097297,530.1108108,4823.748309
PsychoWhistler,1,5,3,3,4715.030498,530.2437838,530.4427027,4715.125955
PsychoWhistler,1,5,3,4,4781.661489,530.5875676,530.8081081,4783.621221
PsychoWhistler,1,5,3,5,4684.209926,530.9508108,531.152973,4684.017497
PsychoWhistler,1,5,3,6,4683.919098,531.287027,531.5010811,4680.95339
PsychoWhistler,1,5,3,7,4630.775343,531.62,531.8394595,4633.71216
PsychoWhistler,1,5,3,8,4633.548387,531.9745946,532.2005405,4633.487205
PsychoWhistler,1,5,3,9,4577.080004,532.3421622,532.5864865,4575.758701
PsychoWhistler,1,5,3,10,4622.265188,532.7205405,532.9508108,4624.963072
PsychoWhistler,1,5,3,11,4591.464115,533.0794595,533.3259459,4604.314231
PsychoWhistler,1,5,3,12,4476.456146,533.4675676,533.7389189,4477.437954
PsychoWhistler,1,5,3,13,4477.641856,533.8859459,534.1291892,4480.704698
PsychoWhistler,1,5,3,14,4542.283195,534.2697297,534.6891892,4541.353587
PsychoWhistler,1,5,3,15,4254.302411,534.8189189,535.2924324,4253.299492
PsychoWhistler,1,5,3,16,4281.217178,535.4221622,535.9010811,4280.337105
PsychoWhistler,1,5,3,17,4297.78626,536.0167568,536.4783784,4297.789567
PsychoWhistler,1,5,3,18,4356.806433,536.5908108,536.9972973,4356.618508
PsychoWhistler,1,5,3,19,4338.103106,537.1291892,537.5497297,4356.26011
PsychoWhistler,1,5,3,20,4283.804727,537.6816216,538.0945946,4283.363532
PsychoWhistler,1,5,3,21,4276.015001,538.2297297,538.6383784,4277.372101
PsychoWhistler,1,5,3,22,4259.460834,538.8059459,539.2102703,4258.886209
BrummelTante,0,6,4,1,4379.600421,543.5576111,543.7651786,
