bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
BrummelTante,1,1,1,1,2008.714642,25.4781743,25.62195808,2009.919571
BrummelTante,1,1,1,2,2075.201288,25.78303916,25.96141754,2074.107029
BrummelTante,1,1,1,3,2102.362537,26.09006619,26.25547159,2073.516107
BrummelTante,1,1,1,4,2071.33016,26.41871484,26.6035797,2071.666871
BrummelTante,1,1,1,5,2039.371487,26.76249862,26.93979592,2041.71889
PsychoWhistler,0,1,1,1,1376.427105,26.77027027,26.88162162,1382.895541
PsychoWhistler,0,1,1,2,1416.656752,27.13891892,27.25675676,1417.106023
PsychoWhistler,0,1,1,3,1462.01087,27.49783784,27.63513514,1463.930636
PsychoWhistler,0,1,1,4,1471.626106,27.86648649,28.01459459,1471.800367
PsychoWhistler,0,1,1,5,1472.491525,28.23945946,28.37135135,1478.33935
PsychoWhistler,0,1,1,6,1494.259129,28.61351351,28.74648649,1496.317136
PsychoWhistler,0,1,1,7,1482.928091,28.98972973,29.14,1477.320054
PsychoWhistler,0,1,1,8,1483.276238,29.36702703,29.51297297,1486.670809
PsychoWhistler,0,1,1,9,1469.5174,29.74756757,29.88810811,1465.730881
BrummelTante,1,3,2,1,1810.607158,110.7257192,111.1613949,1810.913917
BrummelTante,1,3,2,2,1801.264596,111.4273408,111.7668003,1802.765346
BrummelTante,1,3,2,3,1774.756098,112.109503,112.4338273,1775.963085
PsychoWhistler,0,3,2,1,2416.224814,112.2967568,112.4610811,2415.854836
PsychoWhistler,0,3,2,2,2436.95547,112.6945946,112.9324324,2434.350272
PsychoWhistler,0,3,2,3,2392.961319,113.1097297,113.3367568,2391.759888
PsychoWhistler,0,3,2,4,2384.436935,113.5291892,113.7421622,2385.052699
PsychoWhistler,0,3,2,5,2387.977345,113.9183784,114.1616216,2384.228188
PsychoWhistler,0,3,2,6,2363.68342,114.327027,114.5854054,2364.642387
PsychoWhistler,0,3,2,7,2362.86509,114.7367568,115.0156757,2362.564019
