bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Chimichanga,0,1,1,1,2039.410681,,,
Chimichanga,0,1,1,2,2042.235376,,,
Chimichanga,0,1,1,3,2045.284002,,,
Chimichanga,0,1,1,4,2049.809384,,,
Chimichanga,0,1,1,5,2048.304691,,,
Chimichanga,0,1,1,6,2053.249551,,,
Chimichanga,0,1,1,7,2054.281197,,,
Chimichanga,0,1,1,8,2041.491642,,,
Chimichanga,0,1,1,9,2009.409544,,,
Chimichanga,0,1,1,10,2065.497793,,,
Chimichanga,0,1,1,11,2073.556597,,,
Chimichanga,0,1,1,12,1961.245235,,,
Chimichanga,0,1,1,13,2005.324524,,,
Chimichanga,0,1,1,14,2021.181717,,,
Chimichanga,0,1,1,15,2028.317308,,,
Chimichanga,0,1,1,16,2011.234705,,,
Chimichanga,0,1,1,17,2023.340418,,,
Chimichanga,0,1,1,18,2003.340945,,,
Chimichanga,0,1,1,19,2004.545455,,,
Chimichanga,0,1,1,20,1997.056493,,,
Chimichanga,0,1,1,21,2002.264452,,,
Chimichanga,0,1,1,22,1976.498692,,,
Ozzy,1,1,1,1,1969.282815,3.855122155,3.914582288,1967.098742
Ozzy,1,1,1,2,1991.225081,4.188098903,4.283235117,1996.901811
Ozzy,1,1,1,3,2041.298467,4.58160554,4.704850181,2044.370861
Ozzy,1,1,1,4,2048.222477,4.972961329,5.115665649,2045.948522
Ozzy,1,1,1,5,2041.23954,5.370803677,5.511345811,2042.061955
Ozzy,1,1,1,6,2044.702028,5.744850634,5.911339008,2047.950429
Ozzy,1,1,1,7,2050.933482,6.129719863,6.321073384,2048.489157
Ozzy,1,1,1,8,2057.316028,6.519994558,6.681077465,2054.771959
Ozzy,1,1,1,9,2050.579809,6.905933542,7.079989569,2051.029182
Ozzy,1,1,1,10,2043.932039,7.243234663,7.439993651,2042.890067
Ozzy,1,1,1,11,2027.272727,7.608632874,7.785932181,2024.798568
Ozzy,1,1,1,12,2066.087691,7.951339462,8.19026109,2063.329221
Ozzy,1,1,1,13,2087.78101,8.36215493,8.616211865,2090.066048
Ozzy,1,1,1,14,2132.378108,8.752418288,9.010799596,2132.435279
Ozzy,1,1,1,15,2105.319564,9.172963596,9.497291598,2102.789625
Ozzy,1,1,1,16,2054.214919,9.663768634,9.978366795,2053.380424
Ozzy,1,1,1,17,2068.159379,10.16647704,10.53621096,2085.189501
Ozzy,1,1,1,18,1977.28558,10.74917501,11.06377317,1977.093845
Ozzy,1,1,1,19,2038.13383,11.24107248,11.63242826,2036.485312
Ozzy,1,1,1,20,1997.725554,11.82160826,12.1556661,1999.647027
Ozzy,1,1,1,21,1992.529971,12.39674992,12.76864603,1992.445583
Ozzy,1,1,1,22,1983.64287,12.96755586,13.33728978,1979.712989
Chimichanga,0,2,2,1,2008.664384,,,
Chimichanga,0,2,2,2,2061.799904,,,
Chimichanga,0,2,2,3,2062.911695,,,
Chimichanga,0,2,2,4,2047.781289,,,
Chimichanga,0,2,2,5,2033.810888,,,
Chimichanga,0,2,2,6,2023.093966,,,
Chimichanga,0,2,2,7,2025.124861,,,
Chimichanga,0,2,2,8,2006.925208,,,
Ozzy,1,2,2,1,1971.889081,3.855122155,3.914582288,1967.098742
Ozzy,1,2,2,2,1993.781396,4.188098903,4.283235117,1996.901811
Ozzy,1,2,2,3,2042.795105,4.58160554,4.704850181,2044.370861
Ozzy,1,2,2,4,2044.032445,4.972961329,5.115665649,2045.948522
Ozzy,1,2,2,5,2043.025339,5.370803677,5.511345811,2042.061955
Ozzy,1,2,2,6,2048.722765,5.744850634,5.911339008,2047.950429
Ozzy,1,2,2,7,2051.280579,6.129719863,6.321073384,2048.489157
Ozzy,1,2,2,8,2057.105606,6.519994558,6.681077465,2054.771959
Ozzy,1,2,2,9,2049.423338,6.905933542,7.079989569,2051.029182
Ozzy,1,2,2,10,2042.375825,7.243234663,7.439993651,2042.890067
Ozzy,1,2,2,11,2023.225806,7.608632874,7.785932181,2024.798568
Ozzy,1,2,2,12,2063.519193,7.951339462,8.19026109,2063.329221
Ozzy,1,2,2,13,2090.545551,8.36215493,8.616211865,2090.066048
Ozzy,1,2,2,14,2134.610769,8.752418288,9.010799596,2132.435279
Ozzy,1,2,2,15,2103.980132,9.172963596,9.497291598,2102.789625
Ozzy,1,2,2,16,2055.715871,9.663768634,9.978366795,2053.380424
Ozzy,1,2,2,17,2067.834507,10.16647704,10.53621096,2085.189501
Ozzy,1,2,2,18,1977.605187,10.74917501,11.06377317,1977.093845
Ozzy,1,2,2,19,2038.397851,11.24107248,11.63242826,2036.485312
Ozzy,1,2,2,20,2016.15869,11.82160826,12.1556661,1999.647027
Ozzy,1,2,2,21,1991.80601,12.39674992,12.76864603,1992.445583
Ozzy,1,2,2,22,1983.859606,12.96755586,13.33728978,1979.712989
Chimichanga,0,4,3,1,3075.857272,,,
Chimichanga,0,4,3,2,3225.749797,,,
Chimichanga,0,4,3,3,3242.347175,,,
Ozzy,1,4,3,1,3143.589208,76.83567568,77.27675676,3144.494139
Ozzy,1,4,3,2,3251.9572,77.67891892,78.17621622,3251.548037
Ozzy,1,4,3,3,3181.824247,78.43567568,78.91351351,3180.942438
Ozzy,1,4,3,4,3183.644629,79.17945946,79.63351351,3182.406113
Ozzy,1,4,3,5,3129.385622,79.84972973,80.32756757,3130.717031
Chimichanga,0,7,4,1,3651.298937,,,
PAIR_Chimichanga_OzzyII_290421_wm7_ch1.wav2,0,7,4,2,3659.668954,,,
PAIR_Chimichanga_OzzyII_290421_wm7_ch1.wav3,0,7,4,3,3644.508508,,,
PAIR_Chimichanga_OzzyII_290421_wm7_ch1.wav4,0,7,4,4,3648.460068,,,
Ozzy,1,7,4,1,1555.049641,190.6345946,190.8983784,1554.285223
PAIR_Chimichanga_OzzyII_290421_wm7_ch2.wav2,1,7,4,2,1567.987533,191.1340541,191.4886486,1567.949866
PAIR_Chimichanga_OzzyII_290421_wm7_ch2.wav3,1,7,4,3,1584.676969,191.7178378,192.0789189,1586.868877
PAIR_Chimichanga_OzzyII_290421_wm7_ch2.wav4,1,7,4,4,1590.530866,192.3145946,192.6627027,1591.414799
Chimichanga,0,16,5,1,2015.620291,,,
Chimichanga,0,16,5,2,2017.708113,,,
Chimichanga,0,16,5,3,2049.822662,,,
Chimichanga,0,16,5,4,2053.238866,,,
Chimichanga,0,16,5,5,2040.415928,,,
Chimichanga,0,16,5,6,2050.046642,,,
Chimichanga,0,16,5,7,2074.464,,,
Chimichanga,0,16,5,8,2083.756516,,,
Chimichanga,0,16,5,9,2073.888092,,,
Chimichanga,0,16,5,10,2047.919441,,,
Ozzy,1,16,5,1,3658.084419,,,
Ozzy,1,16,5,2,3581.522956,,,
Ozzy,1,16,5,3,3645.851129,,,
Ozzy,1,16,5,4,3534.203655,,,
Ozzy,1,16,5,5,3531.566693,,,
Chimichanga,0,17,6,1,2446.670606,,,
Chimichanga,0,17,6,2,2399.390215,,,
Chimichanga,0,17,6,3,2340.190275,,,
Chimichanga,0,17,6,4,2365.228438,,,
Chimichanga,0,17,6,5,2372.356858,,,
Ozzy,1,17,6,1,2436.15359,,,
Ozzy,1,17,6,2,2512.025316,,,
Ozzy,1,17,6,3,2400.99113,,,
Ozzy,1,17,6,4,2345.297148,,,
Ozzy,1,17,6,5,2346.63626,,,
Chimichanga,0,20,7,1,4649.312435,,,
PAIR_Chimichanga_OzzyII_290421_wm20_ch1.wav2,0,20,7,2,4687.1218,,,
PAIR_Chimichanga_OzzyII_290421_wm20_ch1.wav3,0,20,7,3,4651.540436,,,
PAIR_Chimichanga_OzzyII_290421_wm20_ch1.wav4,0,20,7,4,4642.553602,,,
PAIR_Chimichanga_OzzyII_290421_wm20_ch1.wav5,0,20,7,5,4404.048583,,,
PAIR_Chimichanga_OzzyII_290421_wm20_ch1.wav6,0,20,7,6,4214.103425,,,
Ozzy,1,20,7,1,1766.557912,1184.591351,1184.721081,1772.631947
Ozzy,1,20,7,2,1796.778043,1184.930811,1185.067027,1798.352197
Ozzy,1,20,7,3,1772.147806,1185.27027,1185.421622,1770.606742
Ozzy,1,20,7,4,1776.812389,1185.633514,1185.802162,1772.774939
Ozzy,1,20,7,5,1786.815362,1186.014054,1186.16973,1785.581124
Ozzy,1,20,7,6,1737.095491,1186.353514,1186.530811,1737.153089
Ozzy,1,20,7,7,1769.117647,1186.712432,1186.92,1768.046756
