bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles
Chimichanga,1,3,1,1,2011.522257
Chimichanga,1,3,1,2,2065.207101
Chimichanga,1,3,1,3,2064.954634
Chimichanga,1,3,1,4,2044.410918
Chimichanga,1,3,1,5,2031.039651
Chimichanga,1,3,1,6,2022.390073
Chimichanga,1,3,1,7,2028.563559
Chimichanga,1,3,1,8,2010.620635
Ozzy,0,3,1,1,3849.757029
Ozzy,0,3,1,2,3826.27391
Ozzy,0,3,1,3,3795.016251
Ozzy,0,3,1,4,3757.945647
Chimichanga,1,5,2,1,1338.487904
Chimichanga,1,5,2,2,1353.955503
Chimichanga,1,5,2,3,1393.237598
Chimichanga,1,5,2,4,1422.352658
Ozzy,0,5,2,1,5222.477322
Ozzy,0,5,2,2,5347.425874
Ozzy,0,5,2,3,5255.706522
Ozzy,0,5,2,4,5149.026609
Ozzy,0,5,2,5,4981.630864
Ozzy,0,5,2,6,4842.983675
Ozzy,0,5,2,7,4787.911703
Ozzy,0,5,2,8,4774.764458
Ozzy,0,5,2,9,4813.814931
Ozzy,0,5,2,10,4815.731167
Chimichanga,1,6,3,1,1335.624088
Chimichanga,1,6,3,2,1354.663892
Chimichanga,1,6,3,3,1393.232628
Chimichanga,1,6,3,4,1422.410494
Ozzy,0,6,3,1,2343.732126
Ozzy,0,6,3,2,2179.668715
Ozzy,0,6,3,3,2348.455162
Ozzy,0,6,3,4,2172.164948
Ozzy,0,6,3,5,2313.923727
Ozzy,0,6,3,6,2255.971747
Ozzy,0,6,3,7,2316.318205
Ozzy,0,6,3,8,2337.288136
Ozzy,0,6,3,9,2341.37931
Ozzy,0,6,3,10,2286.087727
Ozzy,0,6,3,11,2320.659898
Ozzy,0,6,3,12,2337.74399
Ozzy,0,6,3,13,2256.773028
Ozzy,0,6,3,14,2311.5277
Ozzy,0,6,3,15,2285.217391
Ozzy,0,6,3,16,2291.811024
Ozzy,0,6,3,17,2335.426009
Chimichanga,1,8,4,1,2029.75089
Chimichanga,1,8,4,2,1954.840353
Chimichanga,1,8,4,3,1994.891641
Chimichanga,1,8,4,4,2005.741127
Chimichanga,1,8,4,5,2028.158787
Chimichanga,1,8,4,6,2012.545549
Chimichanga,1,8,4,7,2010.385604
Chimichanga,1,8,4,8,2021.813403
Chimichanga,1,8,4,9,2027.766886
Chimichanga,1,8,4,10,2007.462066
Chimichanga,1,8,4,11,2014.49851
Ozzy,0,8,4,1,1555.40978
Ozzy,0,8,4,2,1567.887808
Ozzy,0,8,4,3,1586.62614
Ozzy,0,8,4,4,1590.883249
Chimichanga,1,9,5,1,2032.726435
Chimichanga,1,9,5,2,1953.650849
Chimichanga,1,9,5,3,1992.661432
Chimichanga,1,9,5,4,2000.858369
Chimichanga,1,9,5,5,2023.186609
Chimichanga,1,9,5,6,2012.515125
Chimichanga,1,9,5,7,2008.618354
Chimichanga,1,9,5,8,2023.928417
Chimichanga,1,9,5,9,2024.677188
Chimichanga,1,9,5,10,2005.788712
Chimichanga,1,9,5,11,2011.796624
Ozzy,0,9,5,1,3700.030137
Ozzy,0,9,5,2,3666.880422
Ozzy,0,9,5,3,3609.635642
Ozzy,0,9,5,4,3594.962594
Ozzy,0,9,5,5,3517.103638
Ozzy,0,9,5,6,3498.45747
Ozzy,0,9,5,7,3460.419281
Ozzy,0,9,5,8,3449.196298
Ozzy,0,9,5,9,3465.695364
Ozzy,0,9,5,10,3407.167132
Ozzy,0,9,5,11,3358.21554
Ozzy,0,9,5,12,3311.655552
Chimichanga,1,11,6,1,2803.681765
