bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles
Grandmaster,0,1,1,1,1635.903777
Grandmaster,0,1,1,2,1572.253439
Grandmaster,0,1,1,3,1588.044653
Grandmaster,0,1,1,4,1578.683216
Grandmaster,0,1,1,5,1589.330955
Grandmaster,0,1,1,6,1628.496778
Grandmaster,0,1,1,7,1639.624853
Grandmaster,0,1,1,8,1656.038996
Mecca,1,1,1,1,3548.275862
Mecca,1,1,1,2,3459.388789
Grandmaster,0,3,2,1,2735.942559
Grandmaster,0,3,2,2,2990.637532
Grandmaster,0,3,2,3,3012.170105
Grandmaster,0,3,2,4,3175.002992
Grandmaster,0,3,2,5,3118.489753
Grandmaster,0,3,2,6,3086.166425
Grandmaster,0,3,2,7,3074.811558
Grandmaster,0,3,2,8,3042.691679
Grandmaster,0,3,2,9,2639.894122
Mecca,1,3,2,1,2245.440554
Mecca,1,3,2,2,2273.521598
Mecca,1,3,2,3,2119.822829
Mecca,1,3,2,4,2300.789216
Grandmaster,0,5,3,1,2174.242424
Grandmaster,0,5,3,2,2184.337349
Grandmaster,0,5,3,3,2120.75651
Grandmaster,0,5,3,4,2144.414317
Grandmaster,0,5,3,5,2157.564192
Grandmaster,0,5,3,6,2139.346405
Grandmaster,0,5,3,7,2101.184099
Grandmaster,0,5,3,8,2088.383702
Grandmaster,0,5,3,9,2077.529183
Grandmaster,0,5,3,10,2104.095164
Grandmaster,0,5,3,11,2069.804666
Grandmaster,0,5,3,12,2067.649029
Mecca,1,5,3,1,1322.070419
Mecca,1,5,3,2,1338.833615
Grandmaster,0,6,4,1,2006.362153
Grandmaster,0,6,4,2,1934.691973
Grandmaster,0,6,4,3,1960.937126
Grandmaster,0,6,4,4,1952.555616
Grandmaster,0,6,4,5,1958.911716
Mecca,1,6,4,1,8021.408451
Mecca,1,6,4,2,7568.956465
Mecca,1,6,4,3,7632.001333
Mecca,1,6,4,4,7574.112086
Grandmaster,0,8,5,1,2723.950817
Grandmaster,0,8,5,2,2637.364382
Grandmaster,0,8,5,3,2622.273684
Mecca,1,8,5,1,2269.686052
Mecca,1,8,5,2,2276.040038
Mecca,1,8,5,3,2241.609195
Mecca,1,8,5,4,2289.616253
Mecca,1,8,5,5,2339.95811
Mecca,1,8,5,6,2283.05709
Mecca,1,8,5,7,2306.531532
Mecca,1,8,5,8,2327.451753
Mecca,1,8,5,9,2294.373866
Mecca,1,8,5,10,2286.727817
Mecca,1,8,5,11,2379.275333
Mecca,1,8,5,12,2429.168207
Mecca,1,8,5,13,2369.746043
Grandmaster,0,10,6,1,3209.627183
Grandmaster,0,10,6,2,3232.688425
Mecca,1,10,6,1,2893.478261
Mecca,1,10,6,2,3023.245547
Mecca,1,10,6,3,3100.906854
Mecca,1,10,6,4,3125.310846
Mecca,1,10,6,5,3119.250189
Mecca,1,10,6,6,3144.060541
Grandmaster,0,11,7,1,2459.836536
Grandmaster,0,11,7,2,2461.677788
Grandmaster,0,11,7,3,2441.179118
Grandmaster,0,11,7,4,2433.956969
Grandmaster,0,11,7,5,2452.084139
Grandmaster,0,11,7,6,2318.099404
Grandmaster,0,11,7,7,2426.662993
Grandmaster,0,11,7,8,2403.496162
Grandmaster,0,11,7,9,2335.811613
Grandmaster,0,11,7,10,2256.339908
Grandmaster,0,11,7,11,2240.61674
Grandmaster,0,11,7,12,1949.360217
Mecca,1,11,7,1,2524.028777
Mecca,1,11,7,2,2477.246936
Mecca,1,11,7,3,2471.338084
Mecca,1,11,7,4,2421.524363
Mecca,1,11,7,5,2423.740833
Mecca,1,11,7,6,2379.796364
Mecca,1,11,7,7,2384.121144
Mecca,1,11,7,8,2384.051144
Mecca,1,11,7,9,2378.323421
Mecca,1,11,7,10,2363.053408
Grandmaster,0,14,8,1,3767.782656
Grandmaster,0,14,8,2,3742.957712
Grandmaster,0,14,8,3,3655.714834
Grandmaster,0,14,8,4,3553.803191
Grandmaster,0,14,8,5,3543.622201
Grandmaster,0,14,8,6,3440.469497
Grandmaster,0,14,8,7,3364.946611
Grandmaster,0,14,8,8,3314.692057
Grandmaster,0,14,8,9,3268.075928
Mecca,1,14,8,1,3403.96619
Mecca,1,14,8,2,3370.12232
Mecca,1,14,8,3,3351.273047
Mecca,1,14,8,4,3372.277611
Mecca,1,14,8,5,3371.303558
Mecca,1,14,8,6,3340.58908
Mecca,1,14,8,7,3368.98982
Grandmaster,0,15,9,1,3354.619961
Grandmaster,0,15,9,2,3246.104858
Mecca,1,15,9,1,3108.745438
Mecca,1,15,9,2,3193.686255
Mecca,1,15,9,3,3215.513647
Mecca,1,15,9,4,3107.833741
Mecca,1,15,9,5,3147.251435
Grandmaster,0,17,10,1,2001.444043
Grandmaster,0,17,10,2,1950.940905
Grandmaster,0,17,10,3,1964.33186
Grandmaster,0,17,10,4,1949.266575
Grandmaster,0,17,10,5,1991.014289
Mecca,1,17,10,1,1834.275184
Mecca,1,17,10,2,1842.769357
Mecca,1,17,10,3,1836.363636
