bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Grandmaster,1,2,1,1,1642.664534,158.1637838,158.2697297,1642.071474
Grandmaster,1,2,1,2,1566.136231,158.3454054,158.4664865,1569.101124
Grandmaster,1,2,1,3,1589.411765,158.5227027,158.6545946,1584.476534
Grandmaster,1,2,1,4,1578.720698,158.7194595,158.8513514,1576.895307
Grandmaster,1,2,1,5,1593.880837,158.9075676,159.0394595,1592.057762
Grandmaster,1,2,1,6,1632.75465,159.1021622,159.2340541,1629.963899
Grandmaster,1,2,1,7,1641.383413,159.2859459,159.4221622,1636.86751
Grandmaster,1,2,1,8,1654.145729,159.4848649,159.6124324,1653.945965
Mecca,0,2,1,1,2245.449035,158.8545946,159.552973,2246.595669
Mecca,0,2,1,2,2273.519722,159.94,160.6989189,2274.241836
Mecca,0,2,1,3,2118.792997,160.9735135,161.7843243,2118.852253
Mecca,0,2,1,4,2300.610817,161.9594595,162.6037838,2301.611825
Grandmaster,1,4,2,1,4812.726684,366.7475676,366.8881081,4816.989351
Grandmaster,1,4,2,2,4635.135135,367.032973,367.2254054,4634.994698
Grandmaster,1,4,2,3,4554.099877,367.3572973,367.58,4552.779475
Grandmaster,1,4,2,4,4565.564495,367.6967568,367.9583784,4567.472699
Grandmaster,1,4,2,5,4566.262744,368.06,368.3410811,4564.399806
Grandmaster,1,4,2,6,4622.268806,368.4362162,368.7302703,4621.522209
Grandmaster,1,4,2,7,4596.138553,368.8340541,369.1410811,4595.649926
Grandmaster,1,4,2,8,4540.655281,369.2297297,369.5605405,4543.306601
Grandmaster,1,4,2,9,4570.665829,369.6816216,370.0124324,4570.51203
Mecca,0,4,2,1,5227.942128,368.9172973,369.4816216,5227.427974
Mecca,0,4,2,2,4979.9199,369.7216216,370.4697297,4980.498303
Grandmaster,1,7,3,1,2009.431839,576.2718919,576.3908108,2009.513823
Grandmaster,1,7,3,2,1934.891914,576.6027027,576.7518919,1936.914894
Grandmaster,1,7,3,3,1957.68595,576.9854054,577.1821622,1956.724674
Grandmaster,1,7,3,4,1952.393966,577.3702703,577.58,1949.935135
Grandmaster,1,7,3,5,1972.035249,577.7551351,577.9972973,1973.764045
Mecca,0,7,3,1,2275.7638,588.8740541,588.9605405,2277.247706
Mecca,0,7,3,2,2282.391434,589.0275676,589.1097297,2287.748344
Mecca,0,7,3,3,2279.069767,589.1637838,589.2567568,2236.722751
Mecca,0,7,3,4,2293.067069,589.3,589.4016216,2292.570281
Mecca,0,7,3,5,2333.496503,589.4448649,589.5486486,2331.701988
Mecca,0,7,3,6,2287.004132,589.6048649,589.7108108,2283.800556
Mecca,0,7,3,7,2305.882353,589.7583784,589.8513514,2311.997074
Mecca,0,7,3,8,2324.048182,589.9010811,590.0156757,2364.68144
Mecca,0,7,3,9,2296.595745,590.0740541,590.1778378,2293.161459
Mecca,0,7,3,10,2291.018078,590.2275676,590.352973,2288.320376
Mecca,0,7,3,11,2336.661912,590.4048649,590.5151351,2375.940777
Mecca,0,7,3,12,2425.358442,590.5756757,590.6881081,2409.981851
Mecca,0,7,3,13,2384.299308,590.7443243,590.8481081,2379.877649
Grandmaster,1,9,4,1,2723.40195,596.2502703,596.6545946,2725.489316
Grandmaster,1,9,4,2,2638.104265,596.8708108,597.3054054,2636.88824
Grandmaster,1,9,4,3,2623.048327,597.5324324,598.0232432,2622.162162
Mecca,0,9,4,1,1556.25519,600.2318919,600.8848649,1555.912074
Mecca,0,9,4,2,1643.800446,601.2437838,601.8037838,1644.576264
Mecca,0,9,4,3,1620.713822,602.0848649,602.6643243,1620.422618
Mecca,0,9,4,4,1782.112774,602.9454054,603.6005405,1781.278555
Mecca,0,9,4,5,1769.376905,603.7994595,604.4372973,1768.452487
Mecca,0,9,4,6,1836.133829,604.6059459,605.1962162,1836.441166
Grandmaster,1,12,5,1,3145.308203,935.2145946,935.6145946,3144.821722
