bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles
Legolas,1,1,1,1,2082.979318
Legolas,1,1,1,2,2059.886584
Legolas,1,1,1,3,2061.435726
Legolas,1,1,1,4,2052.09854
Legolas,1,1,1,5,2037.892791
Legolas,1,1,1,6,2057.581792
Legolas,1,1,1,7,2042.145369
Legolas,1,1,1,8,2010.027347
Legolas,1,1,1,9,1984.061879
Legolas,1,1,1,10,1997.96058
FrogGuy,0,1,1,1,2132.086659
FrogGuy,0,1,1,2,2121.072664
FrogGuy,0,1,1,3,2128.708861
FrogGuy,0,1,1,4,2146.460177
FrogGuy,0,1,1,5,2171.101757
FrogGuy,0,1,1,6,2174.541004
FrogGuy,0,1,1,7,2183.452769
FrogGuy,0,1,1,8,2185.413745
FrogGuy,0,1,1,9,2183.452769
FrogGuy,0,1,1,10,2192.439151
FrogGuy,0,1,1,11,2179.471229
Legolas,1,2,2,1,NaN
Legolas,1,2,2,2,6963.884911
Legolas,1,2,2,3,6749.644522
Legolas,1,2,2,4,6750.580224
Legolas,1,2,2,5,6738.214587
FrogGuy,0,2,2,1,2129.948659
FrogGuy,0,2,2,2,2121.819054
FrogGuy,0,2,2,3,2127.716674
FrogGuy,0,2,2,4,2151.388235
FrogGuy,0,2,2,5,2173.255814
FrogGuy,0,2,2,6,2172.072308
FrogGuy,0,2,2,7,2186.240183
FrogGuy,0,2,2,8,2186.088094
FrogGuy,0,2,2,9,2186.201452
FrogGuy,0,2,2,10,2190.304665
FrogGuy,0,2,2,11,2180.98322
Legolas,1,4,3,1,3774.578702
Legolas,1,4,3,2,3755.818571
Legolas,1,4,3,3,3692.138574
FrogGuy,0,4,3,1,3804.934037
FrogGuy,0,4,3,2,3868.702679
FrogGuy,0,4,3,3,3773.40628
FrogGuy,0,4,3,4,3732.266777
FrogGuy,0,4,3,5,3645.821145
FrogGuy,0,4,3,6,3631.802351
Legolas,1,6,4,1,2736.929796
Legolas,1,6,4,2,2660.048742
Legolas,1,6,4,3,2603.501664
Legolas,1,6,4,4,2582.209308
Legolas,1,6,4,5,2555.821706
Legolas,1,6,4,6,2512.054409
Legolas,1,6,4,7,2485.427418
Legolas,1,6,4,8,2444.537205
Legolas,1,6,4,9,2418.127083
FrogGuy,0,6,4,1,NaN
FrogGuy,0,6,4,2,2958.948095
FrogGuy,0,6,4,3,2957.840189
FrogGuy,0,6,4,4,2933.098592
FrogGuy,0,6,4,5,2924.346563
FrogGuy,0,6,4,6,2876.718647
FrogGuy,0,6,4,7,2873.575639
FrogGuy,0,6,4,8,2875.568182
FrogGuy,0,6,4,9,2836.735537
FrogGuy,0,6,4,10,2848.017878
FrogGuy,0,6,4,11,2846.676608
Legolas,1,9,5,1,2170.902062
Legolas,1,9,5,2,2061.714801
Legolas,1,9,5,3,2043.273703
Legolas,1,9,5,4,2031.084507
Legolas,1,9,5,5,2054.565123
Legolas,1,9,5,6,1994.472362
Legolas,1,9,5,7,1977.204591
Legolas,1,9,5,8,2046.186505
Legolas,1,9,5,9,2049.614094
Legolas,1,9,5,10,2046.749654
FrogGuy,0,9,5,1,3821.741992
FrogGuy,0,9,5,2,3832.171071
FrogGuy,0,9,5,3,3712.507313
FrogGuy,0,9,5,4,3708.679245
Legolas,1,11,6,1,3799.560725
Legolas,1,11,6,2,3739.548224
Legolas,1,11,6,3,3672.517611
Legolas,1,11,6,4,3654.930218
Legolas,1,11,6,5,3600.097056
FrogGuy,0,11,6,1,2040.616967
FrogGuy,0,11,6,2,2119.836272
FrogGuy,0,11,6,3,2134.551368
FrogGuy,0,11,6,4,2109.910496
FrogGuy,0,11,6,5,2122.255038
FrogGuy,0,11,6,6,2153.984576
FrogGuy,0,11,6,7,2166.666667
FrogGuy,0,11,6,8,2181.694069
FrogGuy,0,11,6,9,2201.343284
FrogGuy,0,11,6,10,2213.612035
FrogGuy,0,11,6,11,2219.340353
FrogGuy,0,11,6,12,2216.015281
Legolas,1,12,7,1,2741.518344
Legolas,1,12,7,2,2721.753047
Legolas,1,12,7,3,2682.395498
FrogGuy,0,12,7,1,4718.973479
FrogGuy,0,12,7,2,4652.5811
FrogGuy,0,12,7,3,4637.612903
FrogGuy,0,12,7,4,4579.561189
FrogGuy,0,12,7,5,4540.745192
FrogGuy,0,12,7,6,4569.296578
Legolas,1,14,8,1,3627.23874
Legolas,1,14,8,2,3508.031207
