bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles
Legolas,0,3,1,1,3768.590832
Legolas,0,3,1,2,3755.490887
Legolas,0,3,1,3,3692.666294
FrogGuy,1,3,1,1,2130.356816
FrogGuy,1,3,1,2,2125.025907
FrogGuy,1,3,1,3,2125.531915
FrogGuy,1,3,1,4,2147.217729
FrogGuy,1,3,1,5,2176.301518
FrogGuy,1,3,1,6,2174.752561
FrogGuy,1,3,1,7,2180.690661
FrogGuy,1,3,1,8,2184.770642
FrogGuy,1,3,1,9,2182.067444
FrogGuy,1,3,1,10,2191.944531
FrogGuy,1,3,1,11,2181.198647
Legolas,0,5,2,1,3776.466782
Legolas,0,5,2,2,3727.478882
Legolas,0,5,2,3,3689.160414
Legolas,0,5,2,4,3629.11736
Legolas,0,5,2,5,3622.70663
FrogGuy,1,5,2,1,3803.47893
FrogGuy,1,5,2,2,3868.306416
FrogGuy,1,5,2,3,3771.007272
FrogGuy,1,5,2,4,3730.648092
FrogGuy,1,5,2,5,3647.30026
FrogGuy,1,5,2,6,3634.510003
Legolas,0,7,3,1,2648.569051
Legolas,0,7,3,2,2567.833282
Legolas,0,7,3,3,2526.606292
Legolas,0,7,3,4,2358.427362
FrogGuy,1,7,3,1,2958.087445
FrogGuy,1,7,3,2,2956.704545
FrogGuy,1,7,3,3,2933.87224
FrogGuy,1,7,3,4,2922.802404
FrogGuy,1,7,3,5,2877.677855
FrogGuy,1,7,3,6,2874.46622
FrogGuy,1,7,3,7,2876.476565
FrogGuy,1,7,3,8,2849.206454
FrogGuy,1,7,3,9,2846.621752
FrogGuy,1,7,3,10,2846.969119
Legolas,0,8,4,1,1677.653631
Legolas,0,8,4,2,1601.671123
Legolas,0,8,4,3,1607.54386
Legolas,0,8,4,4,1590.244828
Legolas,0,8,4,5,1598.139079
Legolas,0,8,4,6,1579.88288
Legolas,0,8,4,7,1581.779053
FrogGuy,1,8,4,1,2438.653655
FrogGuy,1,8,4,2,2483.127714
FrogGuy,1,8,4,3,2483.631818
FrogGuy,1,8,4,4,2491.730769
Legolas,0,10,5,1,3799.52661
Legolas,0,10,5,2,3739.922377
Legolas,0,10,5,3,3672.517611
Legolas,0,10,5,4,3653.530419
Legolas,0,10,5,5,3600.291955
FrogGuy,1,10,5,1,3820.212766
FrogGuy,1,10,5,2,3832.219251
FrogGuy,1,10,5,3,3712.061315
FrogGuy,1,10,5,4,3708.283405
Legolas,0,13,6,1,4831.394342
Legolas,0,13,6,2,4941.325301
Legolas,0,13,6,3,4833.686906
Legolas,0,13,6,4,4776.272955
Legolas,0,13,6,5,4701.595692
FrogGuy,1,13,6,1,4717.380398
FrogGuy,1,13,6,2,4655.137563
FrogGuy,1,13,6,3,4635.849057
FrogGuy,1,13,6,4,4579.002809
FrogGuy,1,13,6,5,4541.007627
FrogGuy,1,13,6,6,4570.90216
Legolas,0,15,7,1,5976.852037
Legolas,0,15,7,2,5776.3679
Legolas,0,15,7,3,5655.200033
FrogGuy,1,15,7,1,5484.760979
FrogGuy,1,15,7,2,5636.32646
FrogGuy,1,15,7,3,5685.005857
FrogGuy,1,15,7,4,5660.816961
FrogGuy,1,15,7,5,5703.487191
Legolas,0,16,8,1,1761.95386
Legolas,0,16,8,2,1670.149254
Legolas,0,16,8,3,1634.523267
Legolas,0,16,8,4,1622.468097
Legolas,0,16,8,5,1635.51011
Legolas,0,16,8,6,1667.258814
Legolas,0,16,8,7,1682.863341
FrogGuy,1,16,8,1,1606.68994
FrogGuy,1,16,8,2,1585.899332
FrogGuy,1,16,8,3,1581.368934
FrogGuy,1,16,8,4,1607.424039
FrogGuy,1,16,8,5,1577.072724
FrogGuy,1,16,8,6,1582.681005
FrogGuy,1,16,8,7,1575.655613
FrogGuy,1,16,8,8,1584.087566
FrogGuy,1,16,8,9,1581.775518
FrogGuy,1,16,8,10,1579.709365
FrogGuy,1,16,8,11,1589.113972
FrogGuy,1,16,8,12,1567.950577
Legolas,0,17,9,1,1986.390789
Legolas,0,17,9,2,1975.815762
Legolas,0,17,9,3,1971.529412
FrogGuy,1,17,9,1,3933.217993
FrogGuy,1,17,9,2,3817.927544
FrogGuy,1,17,9,3,3724.662162
FrogGuy,1,17,9,4,3715.598763
FrogGuy,1,17,9,5,3676.503067
Legolas,0,18,10,1,1361.620509
Legolas,0,18,10,2,1400.832342
Legolas,0,18,10,3,1402.447552
Legolas,0,18,10,4,1407.302854
Legolas,0,18,10,5,1399.277699
FrogGuy,1,18,10,1,2082.213011
FrogGuy,1,18,10,2,2024.532125
FrogGuy,1,18,10,3,2043.846452
FrogGuy,1,18,10,4,2131.562391
FrogGuy,1,18,10,5,2126.939141
FrogGuy,1,18,10,6,2101.772328
