bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Mumbo,1,1,1,1,3054.897382,207.2999773,207.8491665,3055.317919
Mumbo,1,1,1,2,2963.958825,208.0524098,208.5713287,3011.94232
Mumbo,1,1,1,3,2915.236833,208.7464638,209.2264638,2914.445652
Mumbo,1,1,1,4,2835.303566,209.4037611,209.8772746,2836.23695
Mumbo,1,1,1,5,2805.354174,210.0372746,210.5021395,2805.053412
Jumbo,0,1,1,1,2811.188031,213.5745039,214.0480174,2810.89455
Jumbo,0,1,1,2,2830.781857,214.3528823,214.869639,2831.115889
Jumbo,0,1,1,3,2840.296381,215.0642336,215.4209904,2839.464819
Mumbo,1,2,2,1,3718.119343,261.7907881,261.9313287,3721.24879
Mumbo,1,2,2,2,3654.512581,262.0783557,262.2318692,3654.37223
Mumbo,1,2,2,3,3607.564085,262.3551125,262.5302476,3608.389436
Mumbo,1,2,2,4,3580.036588,262.6383557,262.8372746,3584.09894
Mumbo,1,2,2,5,3548.104265,262.9453827,263.1443016,3548.911433
Mumbo,1,2,2,6,3503.11804,263.2653827,263.4794368,3499.036017
Mumbo,1,2,2,7,3429.943955,263.5918692,263.8015989,3432.648649
Mumbo,1,2,2,8,3420.588856,263.9248422,264.1410584,3422.189597
Jumbo,0,2,2,1,5722.808932,273.4253147,273.9701796,5715.069291
Jumbo,0,2,2,2,5743.069884,274.2512606,274.7701796,5740.611754
Mumbo,1,3,3,1,2410.277197,405.6329504,405.7605179,2414.290793
Mumbo,1,3,3,2,2333.810559,405.9680854,406.1453827,2329.364369
Mumbo,1,3,3,3,2319.929859,406.3378152,406.5302476,2317.497349
Mumbo,1,3,3,4,2305.448012,406.6988962,406.8891665,2307.222024
Mumbo,1,3,3,5,2306.816341,407.0578152,407.2610584,2307.329317
Jumbo,0,3,3,1,2466.469481,407.8772066,408.0480174,2464.635603
Jumbo,0,3,3,2,2495.247618,408.4177471,408.5907201,2497.208022
Jumbo,0,3,3,3,2457.907581,408.9409904,409.1615309,2457.557064
Jumbo,0,3,3,4,2423.556068,409.3647742,409.602612,2421.737058
Jumbo,0,3,3,5,2409.238522,409.775585,410.0285579,2411.132025
Jumbo,0,3,3,6,2416.660537,410.1842336,410.4307201,2413.71539
Jumbo,0,3,3,7,2423.731868,410.5712606,410.8220715,2424.084622
Jumbo,0,3,3,8,2423.509963,410.9604498,411.202612,2423.848315
Mumbo,1,4,4,1,1452.825129,447.3453827,447.4578152,1458.439201
Mumbo,1,4,4,2,1490.775401,447.6480854,447.7670044,1488.21735
Mumbo,1,4,4,3,1493.063584,447.9443016,448.0718692,1497.173836
Mumbo,1,4,4,4,1488.356396,448.2578152,448.3961935,1488.546616
Jumbo,0,4,4,1,2289.577683,,,
Jumbo,0,4,4,2,2246.285484,,,
Jumbo,0,4,4,3,2395.68604,,,
Jumbo,0,4,4,4,2433.682207,,,
Jumbo,0,4,4,5,2432.873607,,,
Jumbo,0,4,4,6,2267.658999,,,
Jumbo,0,4,4,7,2295.791765,,,
Mumbo,1,5,5,1,3026.713815,491.8599773,492.4134908,3026.116346
Mumbo,1,5,5,2,2933.434964,492.6102476,493.1313287,2934.24282
Mumbo,1,5,5,3,2926.746294,493.3021395,493.775653,2924.935351
Jumbo,0,5,5,1,2760.521784,493.9420715,494.4134228,2760.095252
Mumbo,1,6,6,1,3999.982524,537.7799773,537.8534908,3999.198026
Mumbo,1,6,6,2,3957.58549,538.0848422,538.1605179,3950.239664
Mumbo,1,6,6,3,3907.413429,538.3637611,538.4588962,3909.723546
Mumbo,1,6,6,4,3876.41231,538.6340314,538.7248422,3875.955056
Mumbo,1,6,6,5,3823.374416,538.8913287,538.9929503,3827.51004
Mumbo,1,6,6,6,3809.040054,539.1529503,539.2610584,3810.654362
Jumbo,0,6,6,1,2687.614679,,,
Mumbo,1,9,7,1,7586.499153,784.283761,784.7010584,7586.839102
Mumbo,1,9,7,2,7695.402802,785.0059233,785.4405179,7694.375457
Mumbo,1,9,7,3,7693.977222,785.7540314,786.1843016,7695.130435
Jumbo,0,9,7,1,3468.479827,784.4415309,784.5777471,3552.663116
Jumbo,0,9,7,2,3508.650375,784.7507201,784.8934227,3510.343184
Jumbo,0,9,7,3,3430.11873,785.0512606,785.2069363,3429.857268
Jumbo,0,9,7,4,3504.517951,785.3280174,785.4858552,3503.419049
Mumbo,1,12,8,1,2402.530203,1156.554031,1156.644842,2400.449438
Mumbo,1,12,8,2,2400.914634,1156.744302,1156.835112,2400.449438
Mumbo,1,12,8,3,2400.731261,1156.915112,1157.021058,2406.484057
