bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles
Mumbo,0,7,1,1,3149.369874
Mumbo,0,7,1,2,3143.120905
Mumbo,0,7,1,3,3109.244328
Mumbo,0,7,1,4,3059.502022
Mumbo,0,7,1,5,3061.634712
Mumbo,0,7,1,6,3047.384008
Mumbo,0,7,1,7,3040.625
Mumbo,0,7,1,8,3037.708875
Mumbo,0,7,1,9,3021.788648
Mumbo,0,7,1,10,3021.713955
Mumbo,0,7,1,11,3027.088866
Mumbo,0,7,1,12,3015.933067
Mumbo,0,7,1,13,3026.470588
Mumbo,0,7,1,14,3010.238908
Mumbo,0,7,1,15,2953.766287
Mumbo,0,7,1,16,2919.544592
Mumbo,0,7,1,17,3018.530885
Mumbo,0,7,1,18,2953.907285
Mumbo,0,7,1,19,2912.813738
Mumbo,0,7,1,20,2966.709929
Mumbo,0,7,1,21,2964.098361
Mumbo,0,7,1,22,2919.761085
Mumbo,0,7,1,23,2963.347587
Mumbo,0,7,1,24,2910.581222
Jumbo,1,7,1,1,1368.318482
Jumbo,1,7,1,2,1327.286889
Jumbo,1,7,1,3,1367.679222
Jumbo,1,7,1,4,1359.651475
Mumbo,0,8,2,1,5355.043748
Mumbo,0,8,2,2,5142.176306
Jumbo,1,8,2,1,2101.533686
Jumbo,1,8,2,2,2091.120507
Jumbo,1,8,2,3,2097.868832
Jumbo,1,8,2,4,2095.403039
Jumbo,1,8,2,5,2100.781541
Jumbo,1,8,2,6,2104.196852
Jumbo,1,8,2,7,2103.903346
Jumbo,1,8,2,8,2104.744422
Jumbo,1,8,2,9,2105.737705
Jumbo,1,8,2,10,2099.473816
Jumbo,1,8,2,11,2104.187438
Mumbo,0,10,3,1,1393.195626
Mumbo,0,10,3,2,1393.565068
Mumbo,0,10,3,3,1468.911917
Mumbo,0,10,3,4,1463.357005
Mumbo,0,10,3,5,1458.778626
Jumbo,1,10,3,1,3571.919319
Jumbo,1,10,3,2,3497.641595
Jumbo,1,10,3,3,3535.159817
Mumbo,0,11,4,1,3728.632614
Mumbo,0,11,4,2,3660.527113
Mumbo,0,11,4,3,3619.253209
Mumbo,0,11,4,4,3600
Mumbo,0,11,4,5,3555.132541
Mumbo,0,11,4,6,3517.151076
Mumbo,0,11,4,7,3438.186158
Mumbo,0,11,4,8,3444.435744
Mumbo,0,11,4,9,3439.493294
Mumbo,0,11,4,10,3407.81893
Mumbo,0,11,4,11,3404.379962
Mumbo,0,11,4,12,3403.620772
Jumbo,1,11,4,1,2338.806731
Jumbo,1,11,4,2,2313.125152
Jumbo,1,11,4,3,2286.460957
Jumbo,1,11,4,4,2283.75
Jumbo,1,11,4,5,2281.679389
Jumbo,1,11,4,6,2298.45873
Jumbo,1,11,4,7,2296.199874
Jumbo,1,11,4,8,2397.0244
Jumbo,1,11,4,9,2396.648362
Jumbo,1,11,4,10,2404.193605
Jumbo,1,11,4,11,2410.27027
Mumbo,0,13,5,1,2415.892244
Mumbo,0,13,5,2,2408.246289
Mumbo,0,13,5,3,2408.131998
Mumbo,0,13,5,4,2397.473201
Mumbo,0,13,5,5,2414.896958
Mumbo,0,13,5,6,2411.523179
Mumbo,0,13,5,7,2415.115005
Mumbo,0,13,5,8,2432.051282
Mumbo,0,13,5,9,2421.368948
Mumbo,0,13,5,10,2420.372093
Mumbo,0,13,5,11,2411.580217
Mumbo,0,13,5,12,2403.706395
Jumbo,1,13,5,1,1360.31068
Jumbo,1,13,5,2,1381.815074
Jumbo,1,13,5,3,1412.0973
Mumbo,0,15,6,1,2400.343249
Mumbo,0,15,6,2,2411.786772
Mumbo,0,15,6,3,2370.477569
Mumbo,0,15,6,4,2401.526286
Mumbo,0,15,6,5,2404.205607
Mumbo,0,15,6,6,2403.401609
Mumbo,0,15,6,7,2400.88284
Mumbo,0,15,6,8,2402.733119
Mumbo,0,15,6,9,2414.455959
Mumbo,0,15,6,10,2429.89449
Mumbo,0,15,6,11,2417.484132
Mumbo,0,15,6,12,2412.439024
Mumbo,0,15,6,13,2400.928623
Mumbo,0,15,6,14,2433.651939
Mumbo,0,15,6,15,2413.432836
Mumbo,0,15,6,16,2417.58034
Mumbo,0,15,6,17,2417.266187
Jumbo,1,15,6,1,1562.492364
Jumbo,1,15,6,2,1600.490436
Jumbo,1,15,6,3,1599.057816
Jumbo,1,15,6,4,1585.135771
Jumbo,1,15,6,5,1602.591574
Mumbo,0,16,7,1,1598.375254
Mumbo,0,16,7,2,1587.962963
Mumbo,0,16,7,3,1568.876361
Mumbo,0,16,7,4,1581.2749
Mumbo,0,16,7,5,1552.044081
Mumbo,0,16,7,6,1537.416107
Mumbo,0,16,7,7,1553.872295
Jumbo,1,16,7,1,1558.485437
Jumbo,1,16,7,2,1599.853587
Jumbo,1,16,7,3,1598.107394
Jumbo,1,16,7,4,1588.861386
Jumbo,1,16,7,5,1603.282308
Mumbo,0,18,8,1,2403.107408
Mumbo,0,18,8,2,2411.31275
Mumbo,0,18,8,3,2398.477157
Mumbo,0,18,8,4,2404.569536
Jumbo,1,18,8,1,1964.788732
Jumbo,1,18,8,2,1950.703475
Jumbo,1,18,8,3,1852.901857
Jumbo,1,18,8,4,1922.569444
Mumbo,0,19,9,1,1852.776128
