bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles
Nocciolato,1,1,1,1,3006.818182
Nocciolato,1,1,1,2,3008.901909
Nocciolato,1,1,1,3,2980.305078
Nocciolato,1,1,1,4,3014.927184
Nocciolato,1,1,1,5,3012.845802
Nocciolato,1,1,1,6,2960.147601
Nocciolato,1,1,1,7,3010
Nocciolato,1,1,1,8,3011.157025
Nocciolato,1,1,1,9,2928.253425
Nocciolato,1,1,1,10,3016.273585
Nocciolato,1,1,1,11,2927.696405
Asimov,0,1,1,1,5414.916004
Asimov,0,1,1,2,5418.255578
Asimov,0,1,1,3,5429.34225
Nocciolato,1,2,2,1,1702.291918
Nocciolato,1,2,2,2,1685.894024
Nocciolato,1,2,2,3,1704.347826
Nocciolato,1,2,2,4,1634.717221
Nocciolato,1,2,2,5,1687.091259
Nocciolato,1,2,2,6,1665.339865
Asimov,0,2,2,1,1707.411504
Asimov,0,2,2,2,1681.350482
Asimov,0,2,2,3,1700.800843
Asimov,0,2,2,4,1662.358643
Asimov,0,2,2,5,1682.288828
Asimov,0,2,2,6,1678.372835
Nocciolato,1,3,3,1,2446.545437
Nocciolato,1,3,3,2,2431.406745
Asimov,0,3,3,1,6746.042783
Asimov,0,3,3,2,6897.602343
Asimov,0,3,3,3,6864.239517
Asimov,0,3,3,4,6861.510896
Asimov,0,3,3,5,6857.504052
Asimov,0,3,3,6,6862.69255
Asimov,0,3,3,7,6643.648923
Nocciolato,1,6,4,1,6461.257295
Nocciolato,1,6,4,2,6255.449251
Nocciolato,1,6,4,3,6277.090909
Nocciolato,1,6,4,4,6208.156694
Asimov,0,6,4,1,2097.640449
Asimov,0,6,4,2,2068.640197
Asimov,0,6,4,3,2097.191262
Asimov,0,6,4,4,2059.615385
Asimov,0,6,4,5,2039.544182
Asimov,0,6,4,6,2025.351912
Asimov,0,6,4,7,2023.681125
Asimov,0,6,4,8,2018.813678
Nocciolato,1,8,5,1,3153.727811
Nocciolato,1,8,5,2,3229.163592
Nocciolato,1,8,5,3,3242.61655
Nocciolato,1,8,5,4,3156.286728
Asimov,0,8,5,1,5532.078135
Asimov,0,8,5,2,5470.915363
Nocciolato,1,9,6,1,1753.977273
Nocciolato,1,9,6,2,1850.558376
Nocciolato,1,9,6,3,1872.769766
Asimov,0,9,6,1,1936.676583
Asimov,0,9,6,2,1892.68018
Asimov,0,9,6,3,1913.251773
Asimov,0,9,6,4,1932.862644
