bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Nocciolato,0,5,1,1,6460.766572,293.495653,293.9280854,6460.877773
Nocciolato,0,5,1,2,6255.168255,294.1140314,294.4880854,6255.698351
Nocciolato,0,5,1,3,6277.673633,294.7129503,295.3615989,6277.536181
Nocciolato,0,5,1,4,6221.009174,295.5799773,296.0815989,6207.729862
Asimov,1,5,1,1,3679.424234,281.985413,282.415588,3679.842918
Asimov,1,5,1,2,3638.600262,282.647003,283.137787,3636.966365
Asimov,1,5,1,3,3631.277395,283.258911,283.684814,3632.151414
Asimov,1,5,1,4,3592.831191,283.935608,284.422089,3593.120164
Nocciolato,0,12,2,1,2428.814346,,,
Nocciolato,0,12,2,2,2383.273022,,,
Nocciolato,0,12,2,3,2379.144701,,,
Asimov,1,12,2,1,1807.323569,,,
Asimov,1,12,2,2,1896.418231,,,
Asimov,1,12,2,3,1899.651811,,,
Asimov,1,12,2,4,1927.494169,,,
Asimov,1,12,2,5,1917.849462,,,
Asimov,1,12,2,6,1930.253228,,,
Asimov,1,12,2,7,1922.769897,,,
Asimov,1,12,2,8,1954.610159,,,
Asimov,1,12,2,9,1936.900119,,,
Asimov,1,12,2,10,1940.201323,,,
Asimov,1,12,2,11,1941.35629,,,
Asimov,1,12,2,12,2188.305927,,,
Asimov,1,12,2,13,2182.904992,,,
Asimov,1,12,2,14,2177.047284,,,
Nocciolato,0,13,3,1,2103.069614,1215.414572,1215.537815,2101.15894
Nocciolato,0,13,3,2,2102.184087,1215.747545,1215.875112,2100.746534
Nocciolato,0,13,3,3,2098.142908,1216.05241,1216.186464,2103.552097
Nocciolato,0,13,3,4,2128.67577,1216.374572,1216.525923,2127.370787
Nocciolato,0,13,3,5,2187.642953,1216.703221,1216.856734,2188.714919
Nocciolato,0,13,3,6,2157.798165,1217.053491,1217.211329,2160.336159
Asimov,1,13,3,1,2100.583252,,,
Asimov,1,13,3,2,2098.560066,,,
Asimov,1,13,3,3,2099.654036,,,
Asimov,1,13,3,4,2124.364811,,,
Asimov,1,13,3,5,2184.891793,,,
Asimov,1,13,3,6,2161.556944,,,
Nocciolato,0,15,4,1,3186.840354,1258.742139,1259.124842,3185.087096
Nocciolato,0,15,4,2,3345.486375,1259.403761,1259.834031,3344.395257
Asimov,1,15,4,1,2326.564885,1249.562988,1249.680054,2323.300407
Asimov,1,15,4,2,2325.585938,1249.729004,1249.860962,2326.237113
Asimov,1,15,4,3,2326.376147,1249.890015,1250.012939,2326.618705
Asimov,1,15,4,4,2394.605661,1250.060059,1250.170044,2390.909091
Asimov,1,15,4,5,2327.294118,1250.229004,1250.333984,2333.585313
Asimov,1,15,4,6,2349.954221,1250.38501,1250.490967,2349.860903
Asimov,1,15,4,7,2348.145187,1250.552002,1250.66394,2349.260685
Asimov,1,15,4,8,2363.847177,1250.737061,1250.855957,2363.100686
Asimov,1,15,4,9,2413.377249,1250.901001,1250.994019,2407.604192
Asimov,1,15,4,10,2443.509934,1251.062988,1251.162964,2440.553413
Asimov,1,15,4,11,2463.258601,1251.223022,1251.344971,2460.022313
Asimov,1,15,4,12,2418.987342,1251.390015,1251.499023,2412.292013
Asimov,1,15,4,13,2458.800562,1251.557007,1251.671997,2460.626972
Asimov,1,15,4,14,2470.630693,1251.72998,1251.834961,2476.457883
Asimov,1,15,4,15,2481.309904,1251.901001,1251.990967,2478.402218
Asimov,1,15,4,16,2463.789869,1252.063965,1252.145996,2462.189055
Asimov,1,15,4,17,2439.354947,1252.223022,1252.32605,2465.096831
Asimov,1,15,4,18,2454.914744,1252.567993,1252.688965,2463.317713
Asimov,1,15,4,19,2461.098025,1252.748047,1252.857056,2458.153078
Asimov,1,15,4,20,2458.249158,1252.917969,1253.029053,2457.501531
Asimov,1,15,4,21,2463.304888,1253.088013,1253.196045,2461.825813
Asimov,1,15,4,22,2460.66482,1253.26001,1253.357056,2462.593458
