bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,,,,,,,,,,,
Reginald,0,1,1,1,2558.961634,29.45565571,30.04376548,2559.010642,,,,,,,,,,
Reginald,0,1,1,2,2605.090432,30.2470093,30.70538898,2604.768736,,,,,,,,,,
Reginald,0,1,1,3,2622.92245,30.89998413,31.29349876,2622.519304,,,,,,,,,,
Uilli,1,1,1,1,1370.203511,26.58431346,26.7335035,1373.93617,,,,,,,,,,
Uilli,1,1,1,2,1390.657084,26.96485616,27.12269489,1425.441747,,,,,,,,,,
Uilli,1,1,1,3,1462.784471,27.34323669,27.49675107,1459.143279,,,,,,,,,,
Uilli,1,1,1,4,1447.888342,27.72161721,27.88161812,1449.79453,,,,,,,,,,
Reginald,0,3,2,1,3686.90862,133.5508108,134.0481081,3677.350045,,,,,,,,,,
Reginald,0,3,2,2,3677.936476,134.2081081,134.74,3677.350045,,,,,,,,,,
Reginald,0,3,2,3,3686.764344,135.0383784,135.6654054,3685.632142,,,,,,,,,,
Reginald,0,3,2,4,3650.040913,135.8383784,136.3962162,3651.546685,,,,,,,,,,
Uilli,1,3,2,1,2023.588457,127.4648305,127.56429,2010.485525,,,,,,,,,,
Uilli,1,3,2,2,2046.801036,127.7632089,127.8799657,2021.285687,,,,,,,,,,
Uilli,1,3,2,3,2040.239641,127.9923981,128.1199657,2045.876289,,,,,,,,,,
Uilli,1,3,2,4,2032.839021,128.20429,128.3318576,2038.037682,,,,,,,,,,
Uilli,1,3,2,5,2046.545455,128.4053711,128.5329387,2030.199076,,,,,,,,,,
Uilli,1,3,2,6,2037.291411,128.5978035,128.7340197,2047.919441,,,,,,,,,,
Uilli,1,3,2,7,2048.860104,128.8075332,128.937263,2042.380287,,,,,,,,,,
Reginald,0,4,3,1,3674.021201,133.5508108,134.0481081,3677.350045,,,,,,,,,,
Reginald,0,4,3,2,3677.764405,134.2081081,134.74,3677.350045,,,,,,,,,,
Reginald,0,4,3,3,3685.476369,135.0383784,135.6654054,3685.632142,,,,,,,,,,
Reginald,0,4,3,4,3650.725034,135.8383784,136.3962162,3651.546685,,,,,,,,,,
Uilli,1,4,3,1,3702.731663,133.3156414,133.7632089,3682.075185,,,,,,,,,,
Uilli,1,4,3,2,3678.37502,134.0551008,134.4810468,3678.717061,,,,,,,,,,
Uilli,1,4,3,3,3701.521039,134.7923981,135.1988846,3702.26474,,,,,,,,,,
Uilli,1,4,3,4,3636.638831,135.4215873,135.8237495,3637.702977,,,,,,,,,,
Reginald,0,6,4,1,2019.182948,141.0751351,141.2048649,2019.259,,,,,,,,,,
Reginald,0,6,4,2,2059.923664,141.3518919,141.4772973,2065.069608,,,,,,,,,,
Reginald,0,6,4,3,2083.538136,141.5637838,141.6978378,2081.173884,,,,,,,,,,
Reginald,0,6,4,4,2076.439213,141.7886486,141.9183784,2080.915764,,,,,,,,,,
Reginald,0,6,4,5,2094.769614,142.0005405,142.1432432,2094.995234,,,,,,,,,,
Reginald,0,6,4,6,2111.574234,142.2210811,142.3594595,2109.978699,,,,,,,,,,
Reginald,0,6,4,7,2115.162455,142.432973,142.567027,2111.011502,,,,,,,,,,
Reginald,0,6,4,8,2114.064152,142.6362162,142.7789189,2109.00858,,,,,,,,,,
Uilli,1,6,4,1,3671.927409,133.3156414,133.7632089,3682.075185,,,,,,,,,,
Uilli,1,6,4,2,3679.29368,134.0551008,134.4810468,3678.717061,,,,,,,,,,
Uilli,1,6,4,3,3702.287139,134.7923981,135.1988846,3702.26474,,,,,,,,,,
Uilli,1,6,4,4,3636.419678,135.4215873,135.8237495,3637.702977,,,,,,,,,,
Reginald,0,7,5,1,2020.86726,141.0751351,141.2048649,2019.259,,,,,,,,,,
Reginald,0,7,5,2,2058.626198,141.3518919,141.4772973,2065.069608,,,,,,,,,,
