bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,,,,,,,,,
Reginald,1,2,1,1,2558.395371,29.45565571,30.04376548,2559.010642,,,,,,,,
Reginald,1,2,1,2,2605.136817,30.2470093,30.70538898,2604.768736,,,,,,,,
Reginald,1,2,1,3,2623.408807,30.89998413,31.29349876,2622.519304,,,,,,,,
Uilli,0,2,1,1,2870.190245,30.86106045,31.17673792,2869.889384,,,,,,,,
Uilli,0,2,1,2,2765.810443,31.48809103,31.73457892,2762.588538,,,,,,,,
Uilli,0,2,1,3,2754.45049,31.88593113,32.09349987,2755.647804,,,,,,,,
Uilli,0,2,1,4,2759.454603,32.23404121,32.43944778,2760.205321,,,,,,,,
Uilli,0,2,1,5,2777.488955,32.54323215,32.77674699,2774.715992,,,,,,,,
Uilli,0,2,1,6,2781.299917,32.86323396,33.06864053,2779.677669,,,,,,,,
Uilli,0,2,1,7,2776.741625,33.15296534,33.34539886,2774.7614,,,,,,,,
Uilli,0,2,1,8,2771.369454,33.43837236,33.65675198,2774.85204,,,,,,,,
Uilli,0,2,1,9,2785.887097,33.7475633,33.9464834,2764.732703,,,,,,,,
Uilli,0,2,1,10,2761.958773,34.04810555,34.27729603,2761.703601,,,,,,,,
Uilli,0,2,1,11,2761.669288,34.35728515,34.58647564,2761.703601,,,,,,,,
Uilli,0,2,1,12,2777.194149,34.68593566,34.88485571,2779.813063,,,,,,,,
Uilli,0,2,1,13,2759.609915,35.00161313,35.20053317,2759.705916,,,,,,,,
Uilli,0,2,1,14,2767.004113,35.31944143,35.53565887,2765.499161,,,,,,,,
Uilli,0,2,1,15,2769.449282,35.63728107,35.85566069,2770.273077,,,,,,,,
Uilli,0,2,1,16,2762.433132,35.96809375,36.18863555,2761.351018,,,,,,,,
Uilli,0,2,1,17,2770.199464,36.29241992,36.50863736,2770.123742,,,,,,,,
Uilli,0,2,1,18,2764.548387,36.62107043,36.83728787,2765.499161,,,,,,,,
Uilli,0,2,1,19,2766.186013,36.94107224,37.16377621,2765.791081,,,,,,,,
Uilli,0,2,1,20,2767.239415,37.2740471,37.48810237,2765.59322,,,,,,,,
Uilli,0,2,1,21,2761.505268,37.59404892,37.81242853,2761.115149,,,,,,,,
Uilli,0,2,1,22,2763.810931,37.91837508,38.128106,2765.189189,,,,,,,,
Uilli,0,2,1,23,2771.402393,38.23187903,38.44377213,2770.11236,,,,,,,,
Uilli,0,2,1,24,2777.952756,38.55404302,38.76593612,2779.550562,,,,,,,,
Uilli,0,2,1,25,2761.982898,38.86755831,39.06647836,2764.732703,,,,,,,,
Uilli,0,2,1,26,2736.759894,39.16593838,39.38215583,2737.751678,,,,,,,,
Reginald,1,5,2,1,3674.04247,133.5508108,134.0481081,3677.350045,,,,,,,,
Reginald,1,5,2,2,3677.76607,134.2081081,134.74,3677.350045,,,,,,,,
Reginald,1,5,2,3,3685.116775,135.0383784,135.6654054,3685.632142,,,,,,,,
Reginald,1,5,2,4,3650.147803,135.8383784,136.3962162,3651.546685,,,,,,,,
Uilli,0,5,2,1,3871.435775,138.7859116,139.2832089,3870.89052,,,,,,,,
Uilli,0,5,2,2,3705.593691,139.5729387,140.0399657,3706.404156,,,,,,,,
Uilli,0,5,2,3,3704.557641,140.3469927,140.8075332,3704.313146,,,,,,,,
Uilli,0,5,2,4,3625.548867,140.9740197,141.3718576,3624.519806,,,,,,,,
Uilli,0,5,2,5,3557.22365,141.5556414,141.9707765,3552.954992,,,,,,,,
Reginald,1,9,3,1,3252.806789,251.7216216,252.2535135,3254.341987,,,,,,,,
Reginald,1,9,3,2,3320.923501,252.4005405,252.8935135,3322.56106,,,,,,,,
Uilli,0,9,3,1,3539.224138,252.697263,252.8918576,3545.676998,,,,,,,,
Uilli,0,9,3,2,3511.517367,253.0432089,253.2486143,3509.890716,,,,,,,,
Uilli,0,9,3,3,3481.323043,253.3956414,253.6075332,3477.977528,,,,,,,,
Uilli,0,9,3,4,3404.464011,253.7351008,253.9599657,3401.885651,,,,,,,,
Uilli,0,9,3,5,3392.307692,254.0788846,254.3188846,3395.512518,,,,,,,,
Uilli,0,9,3,6,3391.130012,254.4205062,254.630236,3389.740541,,,,,,,,
Uilli,0,9,3,7,3399.172185,254.7664522,254.991317,3401.885651,,,,,,,,
Uilli,0,9,3,8,3394.336238,255.1232089,255.3588846,3394.265923,,,,,,,,
Reginald,1,12,4,1,1907.509663,368.832973,368.98,1904.380012,,,,,,,,
Reginald,1,12,4,2,1930.481928,369.1962162,369.3735135,1934.556849,,,,,,,,
Reginald,1,12,4,3,1946.175747,369.5681081,369.7713514,1943.273092,,,,,,,,
Reginald,1,12,4,4,1969.617464,369.94,370.1605405,1967.859346,,,,,,,,
Reginald,1,12,4,5,1976.637025,370.3291892,370.5843243,1975.32883,,,,,,,,
Reginald,1,12,4,6,1981.232414,370.7313514,370.9908108,1980.896618,,,,,,,,
