bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Triller,1,1,1,1,5741.919781,38.95996009,39.25185364,5741.598695
Triller,1,1,1,2,5650.258967,39.51131457,39.79239724,5649.46757
Triller,1,1,1,3,5612.979258,40.11239906,40.47564436,5612.977528
Triller,1,1,1,4,5590.740562,40.71348354,41.18916192,5591.858137
Triller,1,1,1,5,5605.447471,41.42916328,41.84646294,5605.058958
Triller,1,1,1,6,5599.669578,42.17077777,42.5988883,5601.260593
Triller,1,1,1,7,5571.846018,42.84105184,43.27997324,5572.588728
Triller,1,1,1,8,5446.493329,43.55672023,43.99347946,5451.25636
Mecca,0,1,1,1,2010.638298,49.50970705,49.59619354,1826.422018
Mecca,0,1,1,2,2021.050179,49.855653,50.00916651,2012.836041
Mecca,0,1,1,3,2123.954373,50.28808543,50.38538273,2024.632953
Mecca,0,1,1,4,2121.074532,50.66213949,50.79403138,2122.743682
Mecca,0,1,1,5,2127.833973,51.03619354,51.16808543,2122.743682
Mecca,0,1,1,6,2104.303279,51.38430165,51.55727462,2127.251278
Mecca,0,1,1,7,2114.544486,51.75619354,51.935653,2106.102337
Mecca,0,1,1,8,2121.59383,52.11511246,52.27511246,2137.197109
Mecca,0,1,1,9,2123.960016,52.5129503,52.67727462,2123.761557
Mecca,0,1,1,10,2127.880709,52.87619354,53.03619354,2124.698881
Mecca,0,1,1,11,2119.632151,53.26970705,53.44051786,2125.089606
Mecca,0,1,1,12,2089.405571,53.65240976,53.84916651,2119.36153
Mecca,0,1,1,13,2116.565292,54.02213949,54.19727462,2089.668566
Triller,1,6,2,1,3503.626943,882.0929503,882.2313287,3504.587908
Triller,1,6,2,2,3503.907886,882.3805179,882.5318692,3501.573034
Triller,1,6,2,3,3490.223464,882.6853827,882.8475449,3483.850671
Triller,1,6,2,4,3472.875,883.0270044,883.1978152,3471.565114
Triller,1,6,2,5,3479.441698,883.3470044,883.515653,3480.330734
Triller,1,6,2,6,3399.741036,883.6605179,883.8745719,3400.932203
Triller,1,6,2,7,3460.81548,883.995653,884.1924098,3466.197995
Triller,1,6,2,8,3401.392608,884.3740314,884.5621395,3322.384282
Mecca,0,6,2,1,5348.141728,896.160717,896.7726089,5347.237354
Mecca,0,6,2,2,5017.535316,897.0882846,897.6482846,5017.653966
Mecca,0,6,2,3,5129.357587,897.9617981,898.5542306,5127.867723
Mecca,0,6,2,4,5018.713986,898.7682846,899.4255819,5014.440956
Triller,1,7,3,1,2914.608458,994.0302476,994.3545719,2913.689436
Triller,1,7,3,2,2888.384922,994.6659233,995.0572746,2889.918303
Triller,1,7,3,3,2881.603216,995.2215989,995.7124098,2880.914761
Triller,1,7,3,4,2883.304481,995.8853827,996.3697071,2882.325952
Triller,1,7,3,5,2847.483776,996.5405179,997.035653,2847.63693
Triller,1,7,3,6,2814.297581,997.2129505,997.6648422,2814.752371
Triller,1,7,3,7,2833.725755,997.8853829,998.315653,2833.090909
Mecca,0,7,3,1,1418.378733,997.0817981,997.2288252,1401.079581
Mecca,0,7,3,2,1424.536082,997.4039603,997.5790954,1427.369239
Mecca,0,7,3,3,1439.807669,997.7542306,997.9509873,1438.319696
Mecca,0,7,3,4,1413.496933,998.119636,998.3077441,1414.00675
Mecca,0,7,3,5,1470.160148,998.4763927,998.6904468,1471.557203
Mecca,0,7,3,6,1471.657272,998.8590954,999.066663,1474.175224
Mecca,0,7,3,7,1444.621514,999.2547711,999.466663,1444.044944
Mecca,0,7,3,8,1452.408714,999.6482846,999.8753116,1453.555733
Mecca,0,7,3,9,1456.725285,1000.048285,1000.242879,1454.241436
Mecca,0,7,3,10,1425.993533,1000.415852,1000.640717,1414.117173
Mecca,0,7,3,11,1416.571709,1000.826663,1001.062339,1417.106023
Mecca,0,7,3,12,1481.074703,1001.224501,1001.477474,1478.300618
Mecca,0,7,3,13,1490.227464,1001.656933,1001.912068,1489.335229
Triller,1,9,4,1,3270.295792,1191.835653,1192.276734,3269.185688
Triller,1,9,4,2,3222.585851,1192.54268,1193.055112,3223.735564
Triller,1,9,4,3,3235.265423,1193.318896,1193.801058,3235.327314
Mecca,0,9,4,1,3055.594102,1198.056933,1198.521798,3056.733818
Mecca,0,9,4,2,2996.852046,1198.915312,1199.37369,2984.35815
Triller,1,10,5,1,4660.465116,1242.157815,1242.298356,4660.454985
Triller,1,10,5,2,4729.68214,1242.646464,1242.754572,4754.068792
Triller,1,10,5,3,4746.712619,1242.949167,1243.119977,4771.206691
Triller,1,10,5,4,4660.425345,1243.236734,1243.504842,4662.127876
Triller,1,10,5,5,4598.352721,1243.604302,1243.855112,4600.976404
Triller,1,10,5,6,4624.268716,1243.984842,1244.259437,4624.855491
Triller,1,10,5,7,4556.503378,1244.380518,1244.696194,4558.245942
Triller,1,10,5,8,4597.395833,1244.808626,1245.085383,4596.083572
Mecca,0,10,5,1,1923.687597,1248.913149,1249.416933,1923.432507
Mecca,0,10,5,2,1986.874295,1249.730447,1250.465582,1984.636027
Mecca,0,10,5,3,1965.45961,1250.78342,1251.507744,1965.951852
Mecca,0,10,5,4,1971.603048,1251.762879,1252.424501,1963.325108
Triller,1,12,6,1,2851.257686,1260.823761,1260.925383,2853.413655
Triller,1,12,6,2,2835.101254,1261.096194,1261.210788,2835.872576
Triller,1,12,6,3,2831.062057,1261.347004,1261.53295,2833.886111
Triller,1,12,6,4,2785.849653,1261.645383,1261.807545,2787.080537
Triller,1,12,6,5,2783.565361,1261.954572,1262.136193,2791.348315
Triller,1,12,6,6,2780.171167,1262.257275,1262.441058,2780.394818
Triller,1,12,6,7,2770.190168,1262.544842,1262.754572,2769.956757
Triller,1,12,6,8,2754.039189,1262.856194,1263.061599,2755.337234
Mecca,0,12,6,1,3650.075133,1273.399636,1273.966122,3650.434295
Mecca,0,12,6,2,3670.125995,1274.255852,1274.841798,3670.87574
Mecca,0,12,6,3,3658.050206,1275.148825,1275.758555,3657.233172
Mecca,0,12,6,4,3645.880821,1276.005041,1276.565041,3646.280925
Mecca,0,12,6,5,3555.212273,1276.781258,1277.306663,3555.254413
Mecca,0,12,6,6,3543.128943,1277.45369,1277.909906,3555.178926
