bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles,,,
Triller,0,2,1,1,2651.093439,,,
Triller,0,2,1,2,2583.3837,,,
Triller,0,2,1,3,2543.876592,,,
Mecca,1,2,1,1,2472.304744,236.2967341,236.3918692,2469.85224
Mecca,1,2,1,2,2541.231537,236.5734908,236.7032206,2543.341489
Mecca,1,2,1,3,2536.412826,236.7918692,236.9064638,2539.196676
Mecca,1,2,1,4,2520.804726,236.9734908,237.0988962,2519.544386
Mecca,1,2,1,5,2487.371408,237.1399773,237.2524098,2463.339383
Mecca,1,2,1,6,2424.454976,237.3021395,237.4210584,2421.506196
Mecca,1,2,1,7,2430.22113,237.4643016,237.5788962,2434.487535
Mecca,1,2,1,8,2383.362769,237.6178152,237.7432206,2383.999277
Mecca,1,2,1,9,2376.443418,237.788626,237.9032206,2373.407202
Mecca,1,2,1,10,2370.477569,237.9421395,238.0524098,2385.009254
Mecca,1,2,1,11,2409.117998,238.0978152,238.2059233,2404.781879
Mecca,1,2,1,12,2367,238.2534908,238.3572746,2370.242517
Mecca,1,2,1,13,2381.012658,238.4070044,238.4999773,2376.517922
Triller,0,3,2,1,2097.72973,,,
Triller,0,3,2,2,2105.654281,,,
Triller,0,3,2,3,2102.76437,,,
Triller,0,3,2,4,2136.897735,,,
Triller,0,3,2,5,2151.86747,,,
Triller,0,3,2,6,2151.058082,,,
Triller,0,3,2,7,2143.710407,,,
Mecca,1,3,2,1,5391.198044,348.5561935,348.895653,5390.621869
Mecca,1,3,2,2,5355.090857,349.2459233,349.6351125,5354.486134
Mecca,1,3,2,3,5218.663104,349.9788962,350.4459233,5218.086036
Triller,0,4,3,1,2511.302847,,,
Triller,0,4,3,2,2500.759389,,,
Triller,0,4,3,3,2456.050413,,,
Triller,0,4,3,4,2482.163875,,,
Triller,0,4,3,5,2472.328086,,,
Triller,0,4,3,6,2437.226277,,,
Triller,0,4,3,7,2441.326038,,,
Triller,0,4,3,8,2441.044386,,,
Mecca,1,4,3,1,2330.222222,514.4415989,514.6210584,2328.97031
Mecca,1,4,3,2,2386.126629,514.88268,515.1053827,2388.637752
Mecca,1,4,3,3,2381.925722,515.295653,515.5313287,2380.228978
Mecca,1,4,3,4,2354.20749,515.7259233,515.9724098,2352.865422
Mecca,1,4,3,5,2371.211731,516.1172746,516.3897071,2371.086142
Mecca,1,4,3,6,2377.533798,516.4934908,516.7702476,2377.533798
Mecca,1,4,3,7,2375.255543,516.8870044,517.1724098,2375.450862
Mecca,1,4,3,8,2375.922912,517.2848422,517.5421395,2378.531771
Mecca,1,4,3,9,2370.034874,517.6761935,517.9313287,2367.259154
Mecca,1,4,3,10,2354.451803,518.0632206,518.3443016,2355.130687
Mecca,1,4,3,11,2324.98894,518.4480854,518.748626,2325.780896
Mecca,1,4,3,12,2330.544196,518.8632206,519.1291665,2331.145025
Mecca,1,4,3,13,2328.270775,519.2480854,519.5248422,2326.947972
Mecca,1,4,3,14,2278.047877,519.6524098,519.9313287,2330.29835
Triller,0,5,4,1,2019.113372,655.9761935,656.0670044,2026.067416
Triller,0,5,4,2,1997.980349,656.2161935,656.3394368,2003.807947
Triller,0,5,4,3,2025.452882,656.4497071,656.5534908,2023.377758
Triller,0,5,4,4,2074.868852,656.6724098,656.7978152,2081.016091
Triller,0,5,4,5,2086.425526,656.8821395,657.0075449,2065.069608
Triller,0,5,4,6,2075.628627,657.1048422,657.2367341,2069.67509
Triller,0,5,4,7,2040.489914,657.3253827,657.4572746,2039.350181
Triller,0,5,4,8,2090.596047,657.5502476,657.6972746,2088.016656
Triller,0,5,4,9,2087.377911,657.7837611,657.9264638,2087.988561
Triller,0,5,4,10,2091.940436,657.9999773,658.1297071,2096.329955
Triller,0,5,4,11,2093.51325,658.2205179,658.3632206,2094.995234
Triller,0,5,4,12,2093.716338,658.4410584,658.5513287,2094.818014
Mecca,1,5,4,1,2909.863553,644.4140902,644.7686848,2910.295434
Mecca,1,5,4,2,2995.371669,645.0886848,645.4324686,2996.042477
Mecca,1,5,4,3,3067.935872,645.6876037,645.9946308,3068.109306
Mecca,1,5,4,4,3042.506143,646.1589551,646.7059821,3043.711656
Mecca,1,5,4,5,3060.696858,646.8313875,647.397874,3060.857383
Mecca,1,5,4,6,3103.477013,647.5427389,648.0357118,3103.4911
Mecca,1,5,4,7,3061.399256,648.1985978,648.747787,3066.242775
Mecca,1,5,4,8,3081.713379,648.9250843,649.4785978,3082.122081
Triller,0,6,5,1,2471.416597,1107.571869,1107.930788,2471.204751
Triller,0,6,5,2,2446.173412,1108.27241,1108.722139,2445.800141
Triller,0,6,5,3,2439.891905,1109.044302,1109.543761,2440.545694
Triller,0,6,5,4,2454.27425,1109.87241,1110.358896,2454.225122
Mecca,1,6,5,1,1556.90907,1106.340177,1106.913149,1556.737504
Mecca,1,6,5,2,1611.432958,1107.395312,1108.06342,1611.990904
Mecca,1,6,5,3,1660.881935,1108.30342,1108.960717,1661.337841
Mecca,1,6,5,4,1772.912653,1109.148825,1109.765041,1772.048867
Mecca,1,6,5,5,1727.275935,1109.931528,1110.547744,1728.234472
Mecca,1,6,5,6,1729.30203,1110.709906,1111.222339,1721.146953
Mecca,1,6,5,7,1698.864176,1111.37369,1111.901258,1698.340927
Triller,0,11,6,1,2857.289003,1260.823761,1260.925383,2853.413655
Triller,0,11,6,2,2837.010967,1261.096194,1261.210788,2835.872576
Triller,0,11,6,3,2831.836136,1261.347004,1261.53295,2833.886111
Triller,0,11,6,4,2786.0211,1261.645383,1261.807545,2787.080537
Triller,0,11,6,5,2785.584494,1261.954572,1262.136193,2791.348315
Triller,0,11,6,6,2780.112181,1262.257275,1262.441058,2780.394818
Triller,0,11,6,7,2769.761029,1262.544842,1262.754572,2769.956757
Triller,0,11,6,8,2754.340799,1262.856194,1263.061599,2755.337234
Mecca,1,11,6,1,1923.899172,1248.913149,1249.416933,1923.432507
Mecca,1,11,6,2,1986.786805,1249.730447,1250.465582,1984.636027
Mecca,1,11,6,3,1965.704489,1250.78342,1251.507744,1965.951852
Mecca,1,11,6,4,1972.060847,1251.762879,1252.424501,1963.325108
