bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles
Wigwam,1,2,1,1,2085.720762
Wigwam,1,2,1,2,2071.07534
Wigwam,1,2,1,3,2102.515573
Wigwam,1,2,1,4,2101.00804
Wigwam,1,2,1,5,2116.08614
Wigwam,1,2,1,6,2100.286572
Wigwam,1,2,1,7,2116.847172
Wigwam,1,2,1,8,2141.816416
Wigwam,1,2,1,9,2141.698565
Wigwam,1,2,1,10,2142.717657
Wigwam,1,2,1,11,2115.939279
Wigwam,1,2,1,12,2149.614524
Wigwam,1,2,1,13,2144.410876
Wigwam,1,2,1,14,2148.188406
Wigwam,1,2,1,15,2148.740741
Wigwam,1,2,1,16,2149.257232
Wigwam,1,2,1,17,2147.167969
Wigwam,1,2,1,18,2147.800102
Wigwam,1,2,1,19,2145.913878
Wigwam,1,2,1,20,2142.933333
Wigwam,1,2,1,21,2145.405405
EasyRider,0,2,1,1,1657.106164
EasyRider,0,2,1,2,1644.648159
EasyRider,0,2,1,3,1631.538462
Wigwam,1,7,2,1,2337.445145
Wigwam,1,7,2,2,2302.581522
Wigwam,1,7,2,3,2262.277044
Wigwam,1,7,2,4,2263.437418
Wigwam,1,7,2,5,2259.261745
Wigwam,1,7,2,6,2279.469204
Wigwam,1,7,2,7,2270.758967
EasyRider,0,7,2,1,6465.277778
EasyRider,0,7,2,2,5851.091056
EasyRider,0,7,2,3,5837.278732
EasyRider,0,7,2,4,5856.417112
EasyRider,0,7,2,5,5768.560225
EasyRider,0,7,2,6,5749.815498
EasyRider,0,7,2,7,5740.366121
EasyRider,0,7,2,8,5724.420233
EasyRider,0,7,2,9,5827.462967
EasyRider,0,7,2,10,5716.797125
EasyRider,0,7,2,11,5720.028441
EasyRider,0,7,2,12,5752.499363
EasyRider,0,7,2,13,5725.318729
Wigwam,1,8,3,1,2339.390519
Wigwam,1,8,3,2,2322.60393
Wigwam,1,8,3,3,2304.422483
Wigwam,1,8,3,4,2312.77203
Wigwam,1,8,3,5,2320.816824
Wigwam,1,8,3,6,2318.03007
Wigwam,1,8,3,7,2328.946623
Wigwam,1,8,3,8,2312.359551
Wigwam,1,8,3,9,2287.695639
Wigwam,1,8,3,10,2297.868397
EasyRider,0,8,3,1,2615.63823
EasyRider,0,8,3,2,2529.978752
EasyRider,0,8,3,3,2552.26105
EasyRider,0,8,3,4,2545.33202
Wigwam,1,9,4,1,5047.730742
EasyRider,0,9,4,1,5398.054882
EasyRider,0,9,4,2,5294.690143
