bird,stimulus,wm_pair,wm_bird,whistle_number,pitch_whistles
Wigwam,0,1,1,1,5575.982845
Wigwam,0,1,1,2,5542.739939
EasyRider,1,1,1,1,3068.318357
EasyRider,1,1,1,2,3070.057177
Wigwam,0,3,2,1,3075.414365
Wigwam,0,3,2,2,3258.913863
Wigwam,0,3,2,3,3158.169692
Wigwam,0,3,2,4,3087.071626
EasyRider,1,3,2,1,6543.310784
EasyRider,1,3,2,2,6382.285245
EasyRider,1,3,2,3,6401.890941
Wigwam,0,4,3,1,3469.154383
Wigwam,0,4,3,2,3514.003129
Wigwam,0,4,3,3,3509.503311
Wigwam,0,4,3,4,3508.615385
Wigwam,0,4,3,5,3473.647631
EasyRider,1,4,3,1,5333.46263
EasyRider,1,4,3,2,5197.38885
Wigwam,0,5,4,1,5627.970813
Wigwam,0,5,4,2,5510.389894
EasyRider,1,5,4,1,2732.980546
EasyRider,1,5,4,2,2489.607807
EasyRider,1,5,4,3,2554.59479
Wigwam,0,6,5,1,1531.369489
Wigwam,0,6,5,2,1528.475778
Wigwam,0,6,5,3,1470.230083
Wigwam,0,6,5,4,1460.264901
EasyRider,1,6,5,1,1484.038199
EasyRider,1,6,5,2,1505.502088
EasyRider,1,6,5,3,1536.377473
EasyRider,1,6,5,4,1534.031091
EasyRider,1,6,5,5,1495.639535
EasyRider,1,6,5,6,1540.718148
EasyRider,1,6,5,7,1513.591433
EasyRider,1,6,5,8,1483.887667
Wigwam,0,10,6,1,2896.582609
Wigwam,0,10,6,2,2907.081253
Wigwam,0,10,6,3,2787.616387
Wigwam,0,10,6,4,2888.618319
EasyRider,1,10,6,1,4012.80389
EasyRider,1,10,6,2,3398.465347
EasyRider,1,10,6,3,3346.371998
EasyRider,1,10,6,4,3314.298561
EasyRider,1,10,6,5,3284.042553
