Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
1,Spectrogram 1,1,7.165864701,7.165864701,1896.019,1896.019,0,0,-54.22,,2400
2,Spectrogram 1,1,7.806428335,7.806428335,1896.019,1896.019,0,0,-51.14,,2400
3,Spectrogram 1,1,8.64908589,8.64908589,1886.023,1886.023,0,0,-50.32,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,5.695910526,5.695910526,2499.936,2499.936,0,0,-62.94,,2400
2,Spectrogram 1,1,6.364472677,6.364472677,2401.624,2401.624,0,0,-57.71,,2400
3,Spectrogram 1,1,7.125998469,7.125998469,2499.936,2499.936,0,0,-57.12,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,14.4903157,14.4903157,2401.624,2401.624,0,0,-66.29,,2400
2,Spectrogram 1,1,15.07139416,15.07139416,2387.58,2387.58,0,0,-56.18,,2400
3,Spectrogram 1,1,15.77199133,15.77199133,2008.376,2008.376,0,0,-56.45,,2400
4,Spectrogram 1,1,16.5326092,16.5326092,1924.108,1924.108,0,0,-58.35,,2400
5,Spectrogram 1,1,16.97796872,16.97796872,2064.554,2064.554,0,0,-58.65,,2400
6,Spectrogram 1,1,17.73935522,17.73935522,1924.108,1924.108,0,0,-54.77,,2400
7,Spectrogram 1,1,18.2688877,18.2688877,1910.064,1910.064,0,0,-58.32,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,4.470027094,4.470027094,2921.274,2921.274,0,0,-55.71,,2400
2,Spectrogram 1,1,5.0895424,5.0895424,2865.096,2865.096,0,0,-47.36,,2400
3,Spectrogram 1,1,5.769830916,5.769830916,2865.096,2865.096,0,0,-45.64,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,3.392833315,3.392833315,2810.294,2810.294,0,0,-48.21,,2400
2,Spectrogram 1,1,3.912777594,3.912777594,2774.265,2774.265,0,0,-51.07,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,16.13818793,16.13818793,4611.765,4611.765,0,0,-59.46,,5000
2,Spectrogram 1,1,17.26550518,17.26550518,4539.706,4539.706,0,0,-54.71,,5000
3,Spectrogram 1,1,17.8278155,17.8278155,4503.676,4503.676,0,0,-47.99,,5000
,,,,,,,,,,,
