Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
1,Spectrogram 1,1,3.266570508,3.266570508,2463.235,2463.235,0,0,-51,,2400
2,Spectrogram 1,1,4.053616422,4.053616422,2446.814,2446.814,0,0,-49.14,,2400
3,Spectrogram 1,1,4.738206656,4.738206656,2463.235,2463.235,0,0,-49.87,,2400
4,Spectrogram 1,1,5.241170909,5.241170909,2413.971,2413.971,0,0,-45.96,,2400
5,Spectrogram 1,1,5.706878551,5.706878551,2381.127,2381.127,0,0,-49.83,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,3.088057931,3.088057931,3218.627,3218.627,0,0,-45.2,,3200
2,Spectrogram 1,1,3.695544738,3.695544738,3169.363,3169.363,0,0,-44.6,,3200
3,Spectrogram 1,1,4.221254474,4.221254474,3202.206,3202.206,0,0,-42.1,,3200
4,Spectrogram 1,1,4.63403397,4.63403397,3267.892,3267.892,0,0,-46.6,,3200
,,,,,,,,,,,
,,,,,,,,,,,
1,Spectrogram 1,1,5.338060031,5.338060031,2923.039,2923.039,0,0,-58.12,,2800
2,Spectrogram 1,1,5.961776281,5.961776281,2939.461,2939.461,0,0,-56.08,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,9.986001113,9.986001113,3472.549,3472.549,0,0,-55.14,,2800
2,Spectrogram 1,1,10.39886398,10.39886398,3459.395,3459.395,0,0,-47.69,,2800
3,Spectrogram 1,1,10.88053732,10.88053732,3433.088,3433.088,0,0,-50.19,,2800
4,Spectrogram 1,1,11.45395796,11.45395796,3183.17,3183.17,0,0,-53.77,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,2.756145414,2.756145414,2955.882,2955.882,0,0,-64.97,,3200
2,Spectrogram 1,1,3.620360501,3.620360501,3103.676,3103.676,0,0,-50.55,,3200
3,Spectrogram 1,1,4.185603882,4.185603882,3120.098,3120.098,0,0,-48.27,,3200
4,Spectrogram 1,1,4.848947355,4.848947355,3152.941,3152.941,0,0,-48.83,,3200
5,Spectrogram 1,1,5.451562199,5.451562199,3087.255,3087.255,0,0,-48.49,,3200
6,Spectrogram 1,1,6.035491312,6.035491312,3005.147,3005.147,0,0,-48.87,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,2.788843884,2.788843884,6322.304,6322.304,0,0,-67.23,,6000
2,Spectrogram 1,1,3.331119084,3.331119084,6305.882,6305.882,0,0,-56.12,,6000
,,,,,,,,,,,
1,Spectrogram 1,1,3.727524329,3.727524329,2545.343,2545.343,0,0,-55.28,,2800
2,Spectrogram 1,1,4.048575083,4.048575083,2446.814,2446.814,0,0,-42.26,,2800
3,Spectrogram 1,1,4.361286855,4.361286855,2463.235,2463.235,0,0,-47.19,,2800
4,Spectrogram 1,1,4.724032512,4.724032512,2463.235,2463.235,0,0,-48.78,,2800
