Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
1,Spectrogram 1,1,4.163651169,4.163651169,1954.167,1954.167,0,0,-58.09,,2400
2,Spectrogram 1,1,4.780701966,4.780701966,1937.745,1937.745,0,0,-54.74,,2400
3,Spectrogram 1,1,5.293949825,5.293949825,2036.275,2036.275,0,0,-53.86,,2400
4,Spectrogram 1,1,5.801430853,5.801430853,2036.275,2036.275,0,0,-54.64,,2400
5,Spectrogram 1,1,6.41848165,6.41848165,1954.167,1954.167,0,0,-52.51,,2400
6,Spectrogram 1,1,6.989397808,6.989397808,1937.745,1937.745,0,0,-54.6,,2400
,,,,,,,,,,,
,,,,,,,,,,,
1,Spectrogram 1,1,2.673963574,2.673963574,3300.735,3300.735,0,0,-58.1,,3200
2,Spectrogram 1,1,3.372840418,3.372840418,3235.049,3235.049,0,0,-48.9,,3200
3,Spectrogram 1,1,3.919787512,3.919787512,3267.892,3267.892,0,0,-46.66,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,5.423799688,5.423799688,5977.451,5977.451,0,0,-64.57,,2400
2,Spectrogram 1,1,6.006813987,6.006813987,5895.343,5895.343,0,0,-62.56,,2400
3,Spectrogram 1,1,6.601606352,6.601606352,5928.186,5928.186,0,0,-59.05,,2400
