Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
1,Spectrogram 1,1,9.315843811,9.315843811,2152.642,2152.642,0,0,-48.7,,2400
2,Spectrogram 1,1,9.842736099,9.842736099,2133.072,2133.072,0,0,-47.47,,2400
3,Spectrogram 1,1,10.51521705,10.51521705,2093.933,2093.933,0,0,-41.29,,2400
4,Spectrogram 1,1,11.22582836,11.22582836,1956.947,1956.947,0,0,-42.97,,2400
5,Spectrogram 1,1,11.87057813,11.87057813,1878.669,1878.669,0,0,-44.28,,2400
6,Spectrogram 1,1,12.41551009,12.41551009,1898.239,1898.239,0,0,-49.44,,2400
7,Spectrogram 1,1,12.88347363,12.88347363,1839.53,1839.53,0,0,-56.63,,2400
8,Spectrogram 1,1,13.40343313,13.40343313,1800.391,1800.391,0,0,-50.25,,2400
9,Spectrogram 1,1,13.76047198,13.76047198,1761.252,1761.252,0,0,-54.9,,2400
10,Spectrogram 1,1,14.09324606,14.09324606,1800.391,1800.391,0,0,-50.39,,2400
,,,,,,,,,,,
,,,,,,,,,,,
1,Spectrogram 1,1,3.403998577,3.403998577,2541.078,2541.078,0,0,-46.79,,2400
,,,,,,,,,,,
,,,,,,,,,,,
1,Spectrogram 1,1,3.669063507,3.669063507,3463.936,3463.936,0,0,-40.96,,3200
2,Spectrogram 1,1,4.276543395,4.276543395,3493.069,3493.069,0,0,-29.81,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,4.214319714,4.214319714,2430.763,2430.763,0,0,-43.84,,2400
2,Spectrogram 1,1,4.694350977,4.694350977,2423.838,2423.838,0,0,-41.31,,2400
3,Spectrogram 1,1,5.529175848,5.529175848,2409.987,2409.987,0,0,-40.67,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,2.943291384,2.943291384,4736.872,4736.872,0,0,-61.82,,5000
2,Spectrogram 1,1,3.642193359,3.642193359,4660.694,4660.694,0,0,-45.55,,5000
,,,,,,,,,,,
1,Spectrogram 1,1,4.463907252,4.463907252,6371.231,6371.231,0,0,-48.1,,6000
,,,,,,,,,,,
1,Spectrogram 1,1,4.24429125,4.24429125,2867.054,2867.054,0,0,-57.43,,3200
2,Spectrogram 1,1,4.499057738,4.499057738,2853.204,2853.204,0,0,-47.91,,3200
3,Spectrogram 1,1,5.296517904,5.296517904,2853.204,2853.204,0,0,-42.08,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,4.679795558,4.679795558,2229.931,2229.931,0,0,-48.58,,2400
2,Spectrogram 1,1,5.083836777,5.083836777,2174.529,2174.529,0,0,-43.39,,2400
3,Spectrogram 1,1,5.565920236,5.565920236,2174.529,2174.529,0,0,-38.77,,2400
4,Spectrogram 1,1,5.868555653,5.868555653,2091.426,2091.426,0,0,-38.61,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,3.233125507,3.233125507,4847.676,4847.676,0,0,-52.42,,5000
2,Spectrogram 1,1,4.129988667,4.129988667,4667.619,4667.619,0,0,-43.35,,5000
3,Spectrogram 1,1,4.713960435,4.713960435,4695.32,4695.32,0,0,-36.41,,5000
,,,,,,,,,,,
1,Spectrogram 1,1,12.71755101,12.71755101,3282.569,3282.569,0,0,-32.16,,2800
2,Spectrogram 1,1,13.10072487,13.10072487,3296.42,3296.42,0,0,-29.5,,2800
3,Spectrogram 1,1,13.48235012,13.48235012,3144.064,3144.064,0,0,-28.83,,2800
4,Spectrogram 1,1,13.81947886,13.81947886,3019.41,3019.41,0,0,-38.94,,2800
5,Spectrogram 1,1,14.12639876,14.12639876,3005.559,3005.559,0,0,-30.62,,2800
6,Spectrogram 1,1,14.39772247,14.39772247,2964.008,2964.008,0,0,-26.55,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,4.64910766,4.64910766,3130.214,3130.214,0,0,-35.89,,2800
2,Spectrogram 1,1,4.975426399,4.975426399,3185.616,3185.616,0,0,-30.51,,2800
3,Spectrogram 1,1,5.35404448,5.35404448,3102.513,3102.513,0,0,-28.6,,2800
4,Spectrogram 1,1,5.680806297,5.680806297,3102.513,3102.513,0,0,-24.26,,2800
5,Spectrogram 1,1,5.998126414,5.998126414,2950.157,2950.157,0,0,-25.66,,2800
6,Spectrogram 1,1,6.265481155,6.265481155,3060.961,3060.961,0,0,-22.39,,2800
7,Spectrogram 1,1,6.515639192,6.515639192,3102.513,3102.513,0,0,-25.08,,2800
,,,,,,,,,,,
