Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
1,Spectrogram 1,1,4.308968904,4.308968904,2775.245,2775.245,0,0,-73.17,,2800
2,Spectrogram 1,1,4.981759175,4.981759175,2906.618,2906.618,0,0,-60.72,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,4.690281612,4.690281612,2413.971,2413.971,0,0,-60.54,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,5.30386903,5.30386903,4680.147,4680.147,0,0,-54.61,,6000
2,Spectrogram 1,1,6.211963257,6.211963257,4630.882,4630.882,0,0,-45.47,,6000
,,,,,,,,,,,
1,Spectrogram 1,1,3.700090992,3.700090992,3021.569,3021.569,0,0,-58.8,,3200
2,Spectrogram 1,1,4.534622384,4.534622384,2906.618,2906.618,0,0,-54.68,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,4.882139607,4.882139607,2331.863,2331.863,0,0,-47.65,,2400
2,Spectrogram 1,1,5.34323057,5.34323057,2331.863,2331.863,0,0,-41.22,,2400
3,Spectrogram 1,1,5.760924737,5.760924737,2315.441,2315.441,0,0,-39.92,,2400
4,Spectrogram 1,1,6.194892702,6.194892702,2282.598,2282.598,0,0,-37.34,,2400
5,Spectrogram 1,1,6.547491674,6.547491674,2315.441,2315.441,0,0,-35.94,,2400
6,Spectrogram 1,1,6.927213643,6.927213643,2331.863,2331.863,0,0,-35.8,,2400
7,Spectrogram 1,1,7.312360212,7.312360212,2266.176,2266.176,0,0,-36.74,,2400
8,Spectrogram 1,1,7.71378058,7.71378058,2266.176,2266.176,0,0,-34.8,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,3.929244566,3.929244566,5714.706,5714.706,0,0,-65.89,,6000
,,,,,,,,,,,
1,Spectrogram 1,1,3.361404538,3.361404538,2972.304,2972.304,0,0,-62.38,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,3.556359288,3.556359288,1675,1675,0,0,-66.35,,2800
2,Spectrogram 1,1,3.921114086,3.921114086,1707.843,1707.843,0,0,-53.36,,2800
3,Spectrogram 1,1,4.240274535,4.240274535,1724.265,1724.265,0,0,-54.51,,2800
,,,,,,,,,,,
,,,,,,,,,,,
1,Spectrogram 1,1,4.501634213,4.501634213,2381.127,2381.127,0,0,-52.96,,2400
2,Spectrogram 1,1,5.222769791,5.222769791,2397.549,2397.549,0,0,-49.96,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,4.616016812,4.616016812,2808.088,2808.088,0,0,-55.18,,2800
2,Spectrogram 1,1,5.148081055,5.148081055,2758.824,2758.824,0,0,-58.03,,2800
3,Spectrogram 1,1,5.852706674,5.852706674,2709.559,2709.559,0,0,-59.89,,2800
4,Spectrogram 1,1,6.744273784,6.744273784,2627.451,2627.451,0,0,-55.03,,2800
5,Spectrogram 1,1,7.499229805,7.499229805,2660.294,2660.294,0,0,-50.48,,2800
