Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation,
1,Spectrogram 1,1,3.333722071,3.333722071,2578.186,2578.186,0,0,-56.38,,2800
2,Spectrogram 1,1,4.331405318,4.331405318,2578.186,2578.186,0,0,-48.55,,2800
3,Spectrogram 1,1,4.740212112,4.740212112,2512.5,2512.5,0,0,-50.03,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,7.223700897,7.223700897,2742.402,2742.402,0,0,-59.7,,5000
2,Spectrogram 1,1,7.531986871,7.531986871,2808.088,2808.088,0,0,-52.99,,5000
3,Spectrogram 1,1,7.959383335,7.959383335,2873.775,2873.775,0,0,-56.59,,5000
4,Spectrogram 1,1,8.274675809,8.274675809,2758.824,2758.824,0,0,-52.39,,5000
5,Spectrogram 1,1,8.674046276,8.674046276,2627.451,2627.451,0,0,-58.03,,5000
,,,,,,,,,,,
1,Spectrogram 1,1,5.470739633,5.470739633,2627.451,2627.451,0,0,-51.15,,2400
2,Spectrogram 1,1,5.680166385,5.680166385,2643.873,2643.873,0,0,-50.54,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,3.219249823,3.219249823,2676.716,2676.716,0,0,-62.64,,2800
2,Spectrogram 1,1,3.989570316,3.989570316,2528.922,2528.922,0,0,-55.13,,2800
3,Spectrogram 1,1,4.754142149,4.754142149,2528.922,2528.922,0,0,-45.61,,2800
4,Spectrogram 1,1,5.518713982,5.518713982,2463.235,2463.235,0,0,-53.57,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,3.643754755,3.643754755,2512.5,2512.5,0,0,-53.76,,2400
2,Spectrogram 1,1,4.275460982,4.275460982,2512.5,2512.5,0,0,-52.42,,2400
3,Spectrogram 1,1,5.021606742,5.021606742,2348.284,2348.284,0,0,-50.22,,2400
4,Spectrogram 1,1,5.465632133,5.465632133,2463.235,2463.235,0,0,-49.84,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,3.370556581,3.370556581,2955.882,2955.882,0,0,-65.9,,3200
2,Spectrogram 1,1,4.201715629,4.201715629,3021.569,3021.569,0,0,-53.24,,3200
3,Spectrogram 1,1,4.908889625,4.908889625,3054.412,3054.412,0,0,-57.59,,3200
,,,,,,,,,,,
1,Spectrogram 1,1,4.598522293,4.598522293,5977.451,5977.451,0,0,-66.34,,6000
,,,,,,,,,,,
1,Spectrogram 1,1,5.816385343,5.816385343,2775.245,2775.245,0,0,-71,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,5.113497249,5.113497249,2381.127,2381.127,0,0,-59.8,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,7.191814348,7.191814348,2299.02,2299.02,0,0,-58.69,,2400
2,Spectrogram 1,1,7.910995783,7.910995783,2348.284,2348.284,0,0,-52.73,,2400
,,,,,,,,,,,
1,Spectrogram 1,1,5.114550024,5.114550024,6125.245,6125.245,0,0,-67.04,,6000
2,Spectrogram 1,1,5.825883993,5.825883993,6026.716,6026.716,0,0,-73.57,,6000
3,Spectrogram 1,1,6.184490374,6.184490374,5353.431,5353.431,0,0,-70.18,,6000
,,,,,,,,,,,
,,,,,,,,,,,
1,Spectrogram 1,1,3.692478227,3.692478227,3005.147,3005.147,0,0,-59.77,,2800
2,Spectrogram 1,1,4.730543351,4.730543351,3021.569,3021.569,0,0,-54.53,,2800
3,Spectrogram 1,1,5.375186533,5.375186533,3021.569,3021.569,0,0,-56.55,,2800
,,,,,,,,,,,
1,Spectrogram 1,1,3.732155235,3.732155235,5928.186,5928.186,0,0,-68.65,,6000
2,Spectrogram 1,1,4.474518538,4.474518538,5928.186,5928.186,0,0,-67.52,,6000
3,Spectrogram 1,1,5.405015006,5.405015006,5993.873,5993.873,0,0,-52,,6000
,,,,,,,,,,,
1,Spectrogram 1,1,1.060724468,1.060724468,2036.275,2036.275,0,0,-56.37,,2800
2,Spectrogram 1,1,1.323530829,1.323530829,1888.48,1888.48,0,0,-51.44,,2800
3,Spectrogram 1,1,1.532509381,1.532509381,1954.167,1954.167,0,0,-42.78,,2800
4,Spectrogram 1,1,1.84914355,1.84914355,2003.431,2003.431,0,0,-42.61,,2800
5,Spectrogram 1,1,2.130947961,2.130947961,1954.167,1954.167,0,0,-43.49,,2800
6,Spectrogram 1,1,2.469746523,2.469746523,1954.167,1954.167,0,0,-45.29,,2800
7,Spectrogram 1,1,2.716721175,2.716721175,1987.01,1987.01,0,0,-39.76,,2800
8,Spectrogram 1,1,2.906701677,2.906701677,2019.853,2019.853,0,0,-40.57,,2800
