start,end,pb,start,end,bird
0.71483,3.820816,2400,7.06068,8.739773,1896.019
0.596667,3.742358,2400,5.581066,7.253356,2499.936
0.267642,3.387052,2400,14.44342,18.37499,2401.624
0.543674,3.69161,2400,4.2722,5.832744,2921.274
0.527347,3.590612,2400,3.161497,4.037823,2810.294
0.391429,3.494898,5000,16.00197,18.07095,4611.765
0.551474,3.79483,3200,2.409252,6.552199,3242.647
0.356735,3.582857,3200,7.289796,9.032108,3098.529
0.491156,3.582857,3200,2.590204,3.523401,3530.882
0.667982,3.793016,2400,4.23678,8.151247,2233.824
0.316054,3.39415,5000,1.431406,2.418503,4900
0.644626,3.682086,6000,2.094512,2.315646,6521.324
1.096054,4.203265,2400,3.577687,5.614694,2413.971
0.322653,3.416327,2400,6.712449,9.053266,2305.882
0.577347,3.662109,3200,3.664898,5.157075,3206.618
0.288209,3.37483,3200,7.735147,8.883333,2990.441
0.504218,3.546825,6000,2.765782,3.042608,6485.294
,,,,,
0.429093,3.484581,2400,2.321134,5.284467,2666.176
0.516803,3.578798,5000,2.676213,3.251247,5080.147
0.35102,3.444898,3200,3.853061,4.791837,3206.618
0.663061,3.788367,2800,3.788367,5.614694,2810.294
0.359184,3.40975,2800,2.661451,3.546939,2846.324
0.396372,3.454694,2400,1.719002,2.995737,2666.176
0.345805,3.41932,3200,2.821769,3.709796,3242.647
0.450612,3.502676,2400,1.975601,2.346939,2161.765
0.699456,3.759274,2800,2.064717,2.901179,2882.353
0.377551,2.120408,2800,1.989796,2.885714,2810.294
0.465306,2.265306,3200,2.346939,3.346939,3242.647
0.596644,2.84644,2800,2.936054,3.084626,3242.647
0.399819,3.501043,3200,3.911383,4.324354,3134.559
0.752948,3.810771,3200,3.745011,6.322789,3206.618
