start,end,pb,start,end,bird
0.483152,3.573379,2800,4.085714,5.233605,2775.245
1.145397,4.209705,2400,4.596463,4.931156,2413.971
0.60585,3.639252,6000,5.137279,6.282585,4680.147
0.842313,3.938231,3200,3.572857,4.632721,3021.569
1.407891,4.539546,2400,4.76517,7.910363,2331.863
0.314535,3.356122,6000,3.855487,3.988435,5714.706
0.302313,3.407891,3200,3.03229,3.430794,2972.304
0.457143,3.530159,2800,3.501587,4.368254,1675
0.612245,3.70975,2400,4.131519,5.342403,2381.127
0.963809,4.070748,2800,4.429932,7.674558,2808.088
