start,end,pb,start,end,bird
0.478957,3.53941,2800,2.573379,4.882925,2578.186
0.565283,3.601496,5000,7.150544,8.834739,2742.402
0.925623,3.987302,2400,5.425578,5.731746,2627.451
0.674626,3.731973,2800,3.028639,5.70322,2676.716
0.678095,3.729524,2400,3.253333,5.702857,2512.5
0.647642,3.517959,3200,3.245873,5.004852,2955.882
0.922517,3.949932,6000,4.534626,4.664558,5977.451
2.206576,5.268934,2800,5.893991,6.166667,2775.245
1.744898,4.79093,2400,5.045125,5.480272,2381.127
1.601179,4.652245,2400,6.902721,8.201315,2299.02
1.41551,4.471837,6000,4.672653,6.40653,6125.245
0.323537,2.611973,2800,3.381361,5.721088,3005.147
0.407075,3.447415,6000,3.62551,5.474308,5928.186
0.599728,3.598367,2800,1.017959,2.93288,2036.275
